FIPS,County,State,Type,RE,Sex,All Site,Bladder,Brain & ONS,Cervix,Colon & Rectum,"Corpus Uteri & Uterus, NOS",Esophagus,Female Breast,Kidney & Renal Pelvis,Leukemia,Liver & IBD,Lung & Bronchus,Melanoma of the Skin,Non-Hodgkin Lymphoma,Oral Cavity & Pharynx,Ovary,Pancreas,Prostate,Stomach,Thyroid
51001,"Accomack County, Virginia County",VA,Incidence,All,All,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Incidence,All,Female,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Incidence,All,Male,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Incidence,Black NH,All,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Incidence,Black NH,Female,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Incidence,Black NH,Male,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Incidence,Hispanic,All,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Incidence,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Incidence,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Incidence,White NH,All,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Incidence,White NH,Female,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Incidence,White NH,Male,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Incidence,All,All,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Incidence,All,Female,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Incidence,All,Male,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Incidence,Black NH,All,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Incidence,Black NH,Female,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Incidence,Black NH,Male,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Incidence,Hispanic,All,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Incidence,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Incidence,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Incidence,White NH,All,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Incidence,White NH,Female,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Incidence,White NH,Male,,,,,,,,,,,,,,,,,,,,
