FIPS,County,State,Type,RE,Sex,Site,AAR,AAC
51001,"Accomack County, Virginia County",VA,Incidence,All,All,All Site,,
51001,"Accomack County, Virginia County",VA,Incidence,White NH,All,All Site,,
51001,"Accomack County, Virginia County",VA,Incidence,Black NH,All,All Site,,
51001,"Accomack County, Virginia County",VA,Incidence,Hispanic,All,All Site,,
51001,"Accomack County, Virginia County",VA,Incidence,All,Female,All Site,,
51001,"Accomack County, Virginia County",VA,Incidence,White NH,Female,All Site,,
51001,"Accomack County, Virginia County",VA,Incidence,Black NH,Female,All Site,,
51001,"Accomack County, Virginia County",VA,Incidence,Hispanic,Female,All Site,,
51001,"Accomack County, Virginia County",VA,Incidence,All,Male,All Site,,
51001,"Accomack County, Virginia County",VA,Incidence,White NH,Male,All Site,,
51001,"Accomack County, Virginia County",VA,Incidence,Black NH,Male,All Site,,
51001,"Accomack County, Virginia County",VA,Incidence,Hispanic,Male,All Site,,
51001,"Accomack County, Virginia County",VA,Incidence,All,All,Bladder,,
51001,"Accomack County, Virginia County",VA,Incidence,White NH,All,Bladder,,
51001,"Accomack County, Virginia County",VA,Incidence,Black NH,All,Bladder,,
51001,"Accomack County, Virginia County",VA,Incidence,Hispanic,All,Bladder,,
51001,"Accomack County, Virginia County",VA,Incidence,All,Female,Bladder,,
51001,"Accomack County, Virginia County",VA,Incidence,White NH,Female,Bladder,,
51001,"Accomack County, Virginia County",VA,Incidence,Black NH,Female,Bladder,,
51001,"Accomack County, Virginia County",VA,Incidence,Hispanic,Female,Bladder,,
51001,"Accomack County, Virginia County",VA,Incidence,All,Male,Bladder,,
51001,"Accomack County, Virginia County",VA,Incidence,White NH,Male,Bladder,,
51001,"Accomack County, Virginia County",VA,Incidence,Black NH,Male,Bladder,,
51001,"Accomack County, Virginia County",VA,Incidence,Hispanic,Male,Bladder,,
51001,"Accomack County, Virginia County",VA,Incidence,All,All,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Incidence,White NH,All,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Incidence,Black NH,All,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Incidence,Hispanic,All,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Incidence,All,Female,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Incidence,White NH,Female,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Incidence,Black NH,Female,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Incidence,Hispanic,Female,Brain & ONS,,
