FIPS,County,State,Type,RE,Sex,All Site,Bladder,Brain & ONS,Cervix,Colon & Rectum,"Corpus Uteri & Uterus, NOS",Esophagus,Female Breast,Kidney & Renal Pelvis,Leukemia,Liver & IBD,Lung & Bronchus,Melanoma of the Skin,Non-Hodgkin Lymphoma,Oral Cavity & Pharynx,Ovary,Pancreas,Prostate,Stomach,Thyroid
51001,"Accomack County, Virginia County",VA,Mortality,All,All,192.1,,,,19.8,,,,6.3,,,50.0,,6.3,,,7.2,,,
51001,"Accomack County, Virginia County",VA,Mortality,All,Female,176.0,,,,14.9,,,27.4,,,,44.2,,,,,,,,
51001,"Accomack County, Virginia County",VA,Mortality,All,Male,214.3,,,,25.5,,,,,,,56.9,,,,,,32.0,,
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,All,214.2,,,,27.3,,,,,,,52.4,,,,,,,,
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,Female,165.6,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,Male,303.1,,,,,,,,,,,77.9,,,,,,,,
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
51001,"Accomack County, Virginia County",VA,Mortality,White NH,All,186.4,,,,16.9,,,,7.4,,,50.4,,,,,,,,
51001,"Accomack County, Virginia County",VA,Mortality,White NH,Female,177.4,,,,16.5,,,28.6,,,,46.5,,,,,,,,
51001,"Accomack County, Virginia County",VA,Mortality,White NH,Male,198.9,,,,17.3,,,,,,,54.8,,,,,,23.7,,
51007,"Amelia County, Virginia County",VA,Mortality,All,All,193.7,,,,,,,,,,,51.0,,,,,15.6,,,
51007,"Amelia County, Virginia County",VA,Mortality,All,Female,161.0,,,,,,,,,,,36.0,,,,,,,,
51007,"Amelia County, Virginia County",VA,Mortality,All,Male,239.2,,,,,,,,,,,69.8,,,,,,,,
51007,"Amelia County, Virginia County",VA,Mortality,Black NH,All,183.7,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Mortality,Black NH,Female,145.7,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Mortality,Black NH,Male,259.1,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
51007,"Amelia County, Virginia County",VA,Mortality,White NH,All,202.7,,,,,,,,,,,53.8,,,,,,,,
51007,"Amelia County, Virginia County",VA,Mortality,White NH,Female,172.7,,,,,,,,,,,41.0,,,,,,,,
51007,"Amelia County, Virginia County",VA,Mortality,White NH,Male,240.5,,,,,,,,,,,68.4,,,,,,,,
51011,"Appomattox County, Virginia County",VA,Mortality,All,All,161.6,,,,14.4,,,,,,,41.2,,,,,13.9,,,
51011,"Appomattox County, Virginia County",VA,Mortality,All,Female,130.4,,,,,,,,,,,31.6,,,,,,,,
51011,"Appomattox County, Virginia County",VA,Mortality,All,Male,204.0,,,,,,,,,,,53.6,,,,,,,,
51011,"Appomattox County, Virginia County",VA,Mortality,Black NH,All,178.1,,,,,,,,,,,,,,,,,,,
51011,"Appomattox County, Virginia County",VA,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
51011,"Appomattox County, Virginia County",VA,Mortality,Black NH,Male,240.0,,,,,,,,,,,,,,,,,,,
51011,"Appomattox County, Virginia County",VA,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
51011,"Appomattox County, Virginia County",VA,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
51011,"Appomattox County, Virginia County",VA,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
51011,"Appomattox County, Virginia County",VA,Mortality,White NH,All,159.6,,,,,,,,,,,43.8,,,,,,,,
51011,"Appomattox County, Virginia County",VA,Mortality,White NH,Female,133.0,,,,,,,,,,,35.5,,,,,,,,
51011,"Appomattox County, Virginia County",VA,Mortality,White NH,Male,198.9,,,,,,,,,,,54.7,,,,,,,,
51025,"Brunswick County, Virginia County",VA,Mortality,All,All,179.5,,,,16.1,,,,,,,42.3,,,,,,,,
51025,"Brunswick County, Virginia County",VA,Mortality,All,Female,155.2,,,,,,,28.4,,,,30.7,,,,,,,,
51025,"Brunswick County, Virginia County",VA,Mortality,All,Male,218.4,,,,,,,,,,,55.2,,,,,,,,
51025,"Brunswick County, Virginia County",VA,Mortality,Black NH,All,187.6,,,,,,,,,,,42.8,,,,,,,,
51025,"Brunswick County, Virginia County",VA,Mortality,Black NH,Female,163.1,,,,,,,,,,,,,,,,,,,
51025,"Brunswick County, Virginia County",VA,Mortality,Black NH,Male,238.7,,,,,,,,,,,,,,,,,,,
51025,"Brunswick County, Virginia County",VA,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
