FIPS,County,State,Type,RE,Sex,Site,AAR,AAC
51001,"Accomack County, Virginia County",VA,Mortality,All,All,All Site,192.1,104.0
51001,"Accomack County, Virginia County",VA,Mortality,White NH,All,All Site,186.4,76.0
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,All,All Site,214.2,26.0
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,All,All Site,,
51001,"Accomack County, Virginia County",VA,Mortality,All,Female,All Site,176.0,50.0
51001,"Accomack County, Virginia County",VA,Mortality,White NH,Female,All Site,177.4,37.0
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,Female,All Site,165.6,12.0
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,Female,All Site,,
51001,"Accomack County, Virginia County",VA,Mortality,All,Male,All Site,214.3,55.0
51001,"Accomack County, Virginia County",VA,Mortality,White NH,Male,All Site,198.9,39.0
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,Male,All Site,303.1,14.0
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,Male,All Site,,
51001,"Accomack County, Virginia County",VA,Mortality,All,All,Bladder,,
51001,"Accomack County, Virginia County",VA,Mortality,White NH,All,Bladder,,
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,All,Bladder,,
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,All,Bladder,,
51001,"Accomack County, Virginia County",VA,Mortality,All,Female,Bladder,,
51001,"Accomack County, Virginia County",VA,Mortality,White NH,Female,Bladder,,
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,Female,Bladder,,
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,Female,Bladder,,
51001,"Accomack County, Virginia County",VA,Mortality,All,Male,Bladder,,
51001,"Accomack County, Virginia County",VA,Mortality,White NH,Male,Bladder,,
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,Male,Bladder,,
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,Male,Bladder,,
51001,"Accomack County, Virginia County",VA,Mortality,All,All,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Mortality,White NH,All,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,All,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,All,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Mortality,All,Female,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Mortality,White NH,Female,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,Female,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,Female,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Mortality,All,Male,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Mortality,White NH,Male,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,Male,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,Male,Brain & ONS,,
51001,"Accomack County, Virginia County",VA,Mortality,All,Female,Cervix,,
51001,"Accomack County, Virginia County",VA,Mortality,White NH,Female,Cervix,,
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,Female,Cervix,,
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,Female,Cervix,,
51001,"Accomack County, Virginia County",VA,Mortality,All,All,Colon & Rectum,19.8,10.0
51001,"Accomack County, Virginia County",VA,Mortality,White NH,All,Colon & Rectum,16.9,7.0
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,All,Colon & Rectum,27.3,3.0
51001,"Accomack County, Virginia County",VA,Mortality,Hispanic,All,Colon & Rectum,,
51001,"Accomack County, Virginia County",VA,Mortality,All,Female,Colon & Rectum,14.9,4.0
51001,"Accomack County, Virginia County",VA,Mortality,White NH,Female,Colon & Rectum,16.5,4.0
51001,"Accomack County, Virginia County",VA,Mortality,Black NH,Female,Colon & Rectum,,
