FIPS,County,State,measure,value
51001,Accomack County,Virginia,Gini Coefficient,0.4533
51007,Amelia County,Virginia,Gini Coefficient,0.4323
51011,Appomattox County,Virginia,Gini Coefficient,0.4298
51025,Brunswick County,Virginia,Gini Coefficient,0.4352
51029,Buckingham County,Virginia,Gini Coefficient,0.4387
51031,Campbell County,Virginia,Gini Coefficient,0.42
51033,Caroline County,Virginia,Gini Coefficient,0.4235
51036,Charles City County,Virginia,Gini Coefficient,0.5194
51037,Charlotte County,Virginia,Gini Coefficient,0.4747
51041,Chesterfield County,Virginia,Gini Coefficient,0.4176
51049,Cumberland County,Virginia,Gini Coefficient,0.4354
51053,Dinwiddie County,Virginia,Gini Coefficient,0.4337
51057,Essex County,Virginia,Gini Coefficient,0.4254
51073,Gloucester County,Virginia,Gini Coefficient,0.3887
51075,Goochland County,Virginia,Gini Coefficient,0.4727
51081,Greensville County,Virginia,Gini Coefficient,0.4489
51083,Halifax County,Virginia,Gini Coefficient,0.4541
51085,Hanover County,Virginia,Gini Coefficient,0.4176
51087,Henrico County,Virginia,Gini Coefficient,0.4607
51089,Henry County,Virginia,Gini Coefficient,0.4387
51093,Isle Of Wight County,Virginia,Gini Coefficient,0.4395
51095,James City County,Virginia,Gini Coefficient,0.4209
51097,King And Queen County,Virginia,Gini Coefficient,0.4343
51099,King George County,Virginia,Gini Coefficient,0.3751
51101,King William County,Virginia,Gini Coefficient,0.3758
51103,Lancaster County,Virginia,Gini Coefficient,0.5056
51109,Louisa County,Virginia,Gini Coefficient,0.4519
51111,Lunenburg County,Virginia,Gini Coefficient,0.406
51115,Mathews County,Virginia,Gini Coefficient,0.4422
51117,Mecklenburg County,Virginia,Gini Coefficient,0.4925
51119,Middlesex County,Virginia,Gini Coefficient,0.4237
51127,New Kent County,Virginia,Gini Coefficient,0.3853
51131,Northampton County,Virginia,Gini Coefficient,0.4956
51133,Northumberland County,Virginia,Gini Coefficient,0.5062
51135,Nottoway County,Virginia,Gini Coefficient,0.4868
51143,Pittsylvania County,Virginia,Gini Coefficient,0.4451
51145,Powhatan County,Virginia,Gini Coefficient,0.3647
51147,Prince Edward County,Virginia,Gini Coefficient,0.4617
51149,Prince George County,Virginia,Gini Coefficient,0.3815
51159,Richmond County,Virginia,Gini Coefficient,0.423
51175,Southampton County,Virginia,Gini Coefficient,0.3975
51177,Spotsylvania County,Virginia,Gini Coefficient,0.3982
51179,Stafford County,Virginia,Gini Coefficient,0.3743
51181,Surry County,Virginia,Gini Coefficient,0.4298
51183,Sussex County,Virginia,Gini Coefficient,0.3984
51193,Westmoreland County,Virginia,Gini Coefficient,0.4894
51199,York County,Virginia,Gini Coefficient,0.3789
51550,Chesapeake City,Virginia,Gini Coefficient,0.4093
51570,Colonial Heights City,Virginia,Gini Coefficient,0.4136
51590,Danville City,Virginia,Gini Coefficient,0.49
51595,Emporia City,Virginia,Gini Coefficient,0.4377
51620,Franklin City,Virginia,Gini Coefficient,0.4161
51630,Fredericksburg City,Virginia,Gini Coefficient,0.4614
51650,Hampton City,Virginia,Gini Coefficient,0.4443
51670,Hopewell City,Virginia,Gini Coefficient,0.444
51680,Lynchburg City,Virginia,Gini Coefficient,0.4448
51690,Martinsville City,Virginia,Gini Coefficient,0.4797
51700,Newport News City,Virginia,Gini Coefficient,0.4572
51710,Norfolk City,Virginia,Gini Coefficient,0.4759
51730,Petersburg City,Virginia,Gini Coefficient,0.4475
51735,Poquoson City,Virginia,Gini Coefficient,0.3423
51740,Portsmouth City,Virginia,Gini Coefficient,0.4546
51760,Richmond City,Virginia,Gini Coefficient,0.5236
51800,Suffolk City,Virginia,Gini Coefficient,0.4543
51810,Virginia Beach City,Virginia,Gini Coefficient,0.4275
51830,Williamsburg City,Virginia,Gini Coefficient,0.5024
51001,Accomack County,Virginia,Economic Segregation,-0.21311475409836064
51007,Amelia County,Virginia,Economic Segregation,-0.11502890173410404
51011,Appomattox County,Virginia,Economic Segregation,-0.17294326814288025
51025,Brunswick County,Virginia,Economic Segregation,-0.2479254868755292
51029,Buckingham County,Virginia,Economic Segregation,-0.25489168413696717
51031,Campbell County,Virginia,Economic Segregation,-0.1622982511351886
51033,Caroline County,Virginia,Economic Segregation,0.01709090909090909
51036,Charles City County,Virginia,Economic Segregation,-0.18758526603001363
51037,Charlotte County,Virginia,Economic Segregation,-0.2907077724706904
51041,Chesterfield County,Virginia,Economic Segregation,0.09224971450323563
51049,Cumberland County,Virginia,Economic Segregation,-0.07142857142857142
51053,Dinwiddie County,Virginia,Economic Segregation,-0.044799376704324115
51057,Essex County,Virginia,Economic Segregation,-0.20865317515701326
51073,Gloucester County,Virginia,Economic Segregation,0.0010751243112484881
51075,Goochland County,Virginia,Economic Segregation,0.20837740638883012
51081,Greensville County,Virginia,Economic Segregation,-0.17153628652214892
51083,Halifax County,Virginia,Economic Segregation,-0.30068117873537686
51085,Hanover County,Virginia,Economic Segregation,0.1395931530637559
51087,Henrico County,Virginia,Economic Segregation,0.032401011587966634
51089,Henry County,Virginia,Economic Segregation,-0.318044453109768
51093,Isle Of Wight County,Virginia,Economic Segregation,0.022107149970125473
51095,James City County,Virginia,Economic Segregation,0.12326879117923895
51097,King And Queen County,Virginia,Economic Segregation,-0.15090973956475204
51099,King George County,Virginia,Economic Segregation,0.15161461090524087
51101,King William County,Virginia,Economic Segregation,-0.0167991600419979
51103,Lancaster County,Virginia,Economic Segregation,-0.0823552049259188
51109,Louisa County,Virginia,Economic Segregation,-0.017686020293122887
51111,Lunenburg County,Virginia,Economic Segregation,-0.266728624535316
