FIPS,Tract,County,State,measure,value
51001090101,Census Tract 901.01,Accomack County,Virginia,Gini Coefficient,0.4611
51001090102,Census Tract 901.02,Accomack County,Virginia,Gini Coefficient,0.5378
51001090201,Census Tract 902.01,Accomack County,Virginia,Gini Coefficient,0.3494
51001090202,Census Tract 902.02,Accomack County,Virginia,Gini Coefficient,0.4315
51001090300,Census Tract 903,Accomack County,Virginia,Gini Coefficient,0.491
51001090401,Census Tract 904.01,Accomack County,Virginia,Gini Coefficient,0.3383
51001090402,Census Tract 904.02,Accomack County,Virginia,Gini Coefficient,0.4545
51001090500,Census Tract 905,Accomack County,Virginia,Gini Coefficient,0.4455
51001090600,Census Tract 906,Accomack County,Virginia,Gini Coefficient,0.5069
51001090700,Census Tract 907,Accomack County,Virginia,Gini Coefficient,0.4082
51001090800,Census Tract 908,Accomack County,Virginia,Gini Coefficient,0.4439
51001980100,Census Tract 9801,Accomack County,Virginia,Gini Coefficient,
51001980200,Census Tract 9802,Accomack County,Virginia,Gini Coefficient,
51001990100,Census Tract 9901,Accomack County,Virginia,Gini Coefficient,
51001990200,Census Tract 9902,Accomack County,Virginia,Gini Coefficient,
51007930101,Census Tract 9301.01,Amelia County,Virginia,Gini Coefficient,0.391
51007930102,Census Tract 9301.02,Amelia County,Virginia,Gini Coefficient,0.3978
51007930200,Census Tract 9302,Amelia County,Virginia,Gini Coefficient,0.4624
51011040101,Census Tract 401.01,Appomattox County,Virginia,Gini Coefficient,0.394
51011040102,Census Tract 401.02,Appomattox County,Virginia,Gini Coefficient,0.4191
51011040200,Census Tract 402,Appomattox County,Virginia,Gini Coefficient,0.4401
51011040300,Census Tract 403,Appomattox County,Virginia,Gini Coefficient,0.4232
51025930100,Census Tract 9301,Brunswick County,Virginia,Gini Coefficient,0.4425
51025930201,Census Tract 9302.01,Brunswick County,Virginia,Gini Coefficient,0.3209
51025930202,Census Tract 9302.02,Brunswick County,Virginia,Gini Coefficient,
51025930203,Census Tract 9302.03,Brunswick County,Virginia,Gini Coefficient,0.4547
51025930301,Census Tract 9303.01,Brunswick County,Virginia,Gini Coefficient,0.4607
51025930302,Census Tract 9303.02,Brunswick County,Virginia,Gini Coefficient,0.406
51029930101,Census Tract 9301.01,Buckingham County,Virginia,Gini Coefficient,0.4107
51029930102,Census Tract 9301.02,Buckingham County,Virginia,Gini Coefficient,0.4383
51029930201,Census Tract 9302.01,Buckingham County,Virginia,Gini Coefficient,0.4185
51029930202,Census Tract 9302.02,Buckingham County,Virginia,Gini Coefficient,0.4575
51031020101,Census Tract 201.01,Campbell County,Virginia,Gini Coefficient,0.4186
51031020102,Census Tract 201.02,Campbell County,Virginia,Gini Coefficient,0.3723
51031020200,Census Tract 202,Campbell County,Virginia,Gini Coefficient,0.4225
51031020300,Census Tract 203,Campbell County,Virginia,Gini Coefficient,0.3419
51031020401,Census Tract 204.01,Campbell County,Virginia,Gini Coefficient,0.3759
51031020402,Census Tract 204.02,Campbell County,Virginia,Gini Coefficient,0.3944
51031020403,Census Tract 204.03,Campbell County,Virginia,Gini Coefficient,0.4156
51031020500,Census Tract 205,Campbell County,Virginia,Gini Coefficient,0.3952
51031020600,Census Tract 206,Campbell County,Virginia,Gini Coefficient,0.5112
51031020700,Census Tract 207,Campbell County,Virginia,Gini Coefficient,0.457
