FIPS,County,State,measure,value
51001,Accomack County,Virginia,Insurance Coverage,0.8772808695388166
51007,Amelia County,Virginia,Insurance Coverage,0.9220117172639428
51011,Appomattox County,Virginia,Insurance Coverage,0.9103935923909643
51025,Brunswick County,Virginia,Insurance Coverage,0.9428447087836368
51029,Buckingham County,Virginia,Insurance Coverage,0.8822897070679925
51031,Campbell County,Virginia,Insurance Coverage,0.9197735807979099
51033,Caroline County,Virginia,Insurance Coverage,0.9317882630083836
51036,Charles City County,Virginia,Insurance Coverage,0.9217212512850639
51037,Charlotte County,Virginia,Insurance Coverage,0.8979253835425384
51041,Chesterfield County,Virginia,Insurance Coverage,0.9247491966729513
51049,Cumberland County,Virginia,Insurance Coverage,0.9046437066914883
51053,Dinwiddie County,Virginia,Insurance Coverage,0.9394444243236392
51057,Essex County,Virginia,Insurance Coverage,0.8986126947928544
51073,Gloucester County,Virginia,Insurance Coverage,0.9428834759710336
51075,Goochland County,Virginia,Insurance Coverage,0.960717812218263
51081,Greensville County,Virginia,Insurance Coverage,0.8944358393899678
51083,Halifax County,Virginia,Insurance Coverage,0.9222169078082028
51085,Hanover County,Virginia,Insurance Coverage,0.9511190014073754
51087,Henrico County,Virginia,Insurance Coverage,0.9307394272111157
51089,Henry County,Virginia,Insurance Coverage,0.9110686871097323
51093,Isle Of Wight County,Virginia,Insurance Coverage,0.937428836224017
51095,James City County,Virginia,Insurance Coverage,0.9481250984717189
51097,King And Queen County,Virginia,Insurance Coverage,0.947085201793722
51099,King George County,Virginia,Insurance Coverage,0.9526226734348562
51101,King William County,Virginia,Insurance Coverage,0.9461688237315313
51103,Lancaster County,Virginia,Insurance Coverage,0.9215338682590035
51109,Louisa County,Virginia,Insurance Coverage,0.9221508394968417
51111,Lunenburg County,Virginia,Insurance Coverage,0.9045984280422802
51115,Mathews County,Virginia,Insurance Coverage,0.8981547196593329
51117,Mecklenburg County,Virginia,Insurance Coverage,0.91758446575621
51119,Middlesex County,Virginia,Insurance Coverage,0.9339168911119662
51127,New Kent County,Virginia,Insurance Coverage,0.9561580882352941
51131,Northampton County,Virginia,Insurance Coverage,0.8922359990014147
51133,Northumberland County,Virginia,Insurance Coverage,0.9178437108232345
51135,Nottoway County,Virginia,Insurance Coverage,0.8662940670679278
51143,Pittsylvania County,Virginia,Insurance Coverage,0.9235379037131538
51145,Powhatan County,Virginia,Insurance Coverage,0.9511819484240688
51147,Prince Edward County,Virginia,Insurance Coverage,0.9173722627737226
51149,Prince George County,Virginia,Insurance Coverage,0.9485168204165055
51159,Richmond County,Virginia,Insurance Coverage,0.9392684610075914
51175,Southampton County,Virginia,Insurance Coverage,0.9455528846153847
51177,Spotsylvania County,Virginia,Insurance Coverage,0.9238639586378411
51179,Stafford County,Virginia,Insurance Coverage,0.9283332883405772
51181,Surry County,Virginia,Insurance Coverage,0.9093268203327737
51183,Sussex County,Virginia,Insurance Coverage,0.9083888712578018
51193,Westmoreland County,Virginia,Insurance Coverage,0.8901165681454063
51199,York County,Virginia,Insurance Coverage,0.9638133725202057
51550,Chesapeake City,Virginia,Insurance Coverage,0.9326357569640522
51570,Colonial Heights City,Virginia,Insurance Coverage,0.9215938303341902
51590,Danville City,Virginia,Insurance Coverage,0.9056690106926115
51595,Emporia City,Virginia,Insurance Coverage,0.9259524235378287
51620,Franklin City,Virginia,Insurance Coverage,0.9564737616478666
51630,Fredericksburg City,Virginia,Insurance Coverage,0.8986421124287916
51650,Hampton City,Virginia,Insurance Coverage,0.9241085479599278
51670,Hopewell City,Virginia,Insurance Coverage,0.9226348364279399
51680,Lynchburg City,Virginia,Insurance Coverage,0.9242833335486454
51690,Martinsville City,Virginia,Insurance Coverage,0.9008409785932722
51700,Newport News City,Virginia,Insurance Coverage,0.903339715442028
51710,Norfolk City,Virginia,Insurance Coverage,0.8921032811262818
51730,Petersburg City,Virginia,Insurance Coverage,0.8915371757568253
51735,Poquoson City,Virginia,Insurance Coverage,0.9706749672346002
51740,Portsmouth City,Virginia,Insurance Coverage,0.9081201261719092
51760,Richmond City,Virginia,Insurance Coverage,0.893228455091537
51800,Suffolk City,Virginia,Insurance Coverage,0.9356142805212544
51810,Virginia Beach City,Virginia,Insurance Coverage,0.9287650171294544
51830,Williamsburg City,Virginia,Insurance Coverage,0.9325902335456475
51001,Accomack County,Virginia,Medicaid Enrollment,0.21477365880316968
51007,Amelia County,Virginia,Medicaid Enrollment,0.15377006771665525
51011,Appomattox County,Virginia,Medicaid Enrollment,0.21131343470371067
51025,Brunswick County,Virginia,Medicaid Enrollment,0.2558932327554943
51029,Buckingham County,Virginia,Medicaid Enrollment,0.2429454447729105
51031,Campbell County,Virginia,Medicaid Enrollment,0.15515520963733015
51033,Caroline County,Virginia,Medicaid Enrollment,0.13985311439063258
51036,Charles City County,Virginia,Medicaid Enrollment,0.1658099574093112
51037,Charlotte County,Virginia,Medicaid Enrollment,0.23692468619246862
51041,Chesterfield County,Virginia,Medicaid Enrollment,0.11824245769050827
51049,Cumberland County,Virginia,Medicaid Enrollment,0.1165580721894715
51053,Dinwiddie County,Virginia,Medicaid Enrollment,0.17304697403208866
51057,Essex County,Virginia,Medicaid Enrollment,0.26586849106803495
51073,Gloucester County,Virginia,Medicaid Enrollment,0.13050691244239632
51075,Goochland County,Virginia,Medicaid Enrollment,0.062164598806508396
51081,Greensville County,Virginia,Medicaid Enrollment,0.2689145716668652
51083,Halifax County,Virginia,Medicaid Enrollment,0.25179361473155565
51085,Hanover County,Virginia,Medicaid Enrollment,0.08916136984537268
51087,Henrico County,Virginia,Medicaid Enrollment,0.12973680375057692
51089,Henry County,Virginia,Medicaid Enrollment,0.2769160402497713
51093,Isle Of Wight County,Virginia,Medicaid Enrollment,0.11320005295908911
51095,James City County,Virginia,Medicaid Enrollment,0.08440995746021743
51097,King And Queen County,Virginia,Medicaid Enrollment,0.18684603886397608
51099,King George County,Virginia,Medicaid Enrollment,0.11659744654668512
51101,King William County,Virginia,Medicaid Enrollment,0.12409804146145917
51103,Lancaster County,Virginia,Medicaid Enrollment,0.19677178578092927
51109,Louisa County,Virginia,Medicaid Enrollment,0.17343302920693193
51111,Lunenburg County,Virginia,Medicaid Enrollment,0.20616135152226941
51115,Mathews County,Virginia,Medicaid Enrollment,0.14229950319375442
51117,Mecklenburg County,Virginia,Medicaid Enrollment,0.2024467111728625
51119,Middlesex County,Virginia,Medicaid Enrollment,0.20623316660253943
51127,New Kent County,Virginia,Medicaid Enrollment,0.05569852941176471
51131,Northampton County,Virginia,Medicaid Enrollment,0.2055421486227844
51133,Northumberland County,Virginia,Medicaid Enrollment,0.1625574592561638
51135,Nottoway County,Virginia,Medicaid Enrollment,0.22965032960733733
51143,Pittsylvania County,Virginia,Medicaid Enrollment,0.21080373329752233
51145,Powhatan County,Virginia,Medicaid Enrollment,0.07815186246418337
51147,Prince Edward County,Virginia,Medicaid Enrollment,0.18340632603406326
51149,Prince George County,Virginia,Medicaid Enrollment,0.15041705794619675
51159,Richmond County,Virginia,Medicaid Enrollment,0.18398895790200137
51175,Southampton County,Virginia,Medicaid Enrollment,0.19615384615384615
51177,Spotsylvania County,Virginia,Medicaid Enrollment,0.13271813666673937
51179,Stafford County,Virginia,Medicaid Enrollment,0.08088572739788893
51181,Surry County,Virginia,Medicaid Enrollment,0.1758510151121966
51183,Sussex County,Virginia,Medicaid Enrollment,0.22246905744208187
51193,Westmoreland County,Virginia,Medicaid Enrollment,0.20219877354842275
51199,York County,Virginia,Medicaid Enrollment,0.0669085231447465
51550,Chesapeake City,Virginia,Medicaid Enrollment,0.1197122816879815
51570,Colonial Heights City,Virginia,Medicaid Enrollment,0.166648038448642
51590,Danville City,Virginia,Medicaid Enrollment,0.299055967633176
51595,Emporia City,Virginia,Medicaid Enrollment,0.4263995707386872
51620,Franklin City,Virginia,Medicaid Enrollment,0.3624325649828347
51630,Fredericksburg City,Virginia,Medicaid Enrollment,0.15083658772526962
51650,Hampton City,Virginia,Medicaid Enrollment,0.19662994664721914
51670,Hopewell City,Virginia,Medicaid Enrollment,0.34213085764809903
51680,Lynchburg City,Virginia,Medicaid Enrollment,0.19817329182115312
51690,Martinsville City,Virginia,Medicaid Enrollment,0.3232415902140673
51700,Newport News City,Virginia,Medicaid Enrollment,0.20820196507801841
51710,Norfolk City,Virginia,Medicaid Enrollment,0.21319113188235067
51730,Petersburg City,Virginia,Medicaid Enrollment,0.31588559400730515
51735,Poquoson City,Virginia,Medicaid Enrollment,0.07019986893840105
51740,Portsmouth City,Virginia,Medicaid Enrollment,0.2530228686585473
51760,Richmond City,Virginia,Medicaid Enrollment,0.21662941279233838
51800,Suffolk City,Virginia,Medicaid Enrollment,0.1629746312554389
51810,Virginia Beach City,Virginia,Medicaid Enrollment,0.10484749706813921
51830,Williamsburg City,Virginia,Medicaid Enrollment,0.09375
51001,Accomack County,Virginia,Gini Coefficient,0.4533
51007,Amelia County,Virginia,Gini Coefficient,0.4323
51011,Appomattox County,Virginia,Gini Coefficient,0.4298
51025,Brunswick County,Virginia,Gini Coefficient,0.4352
51029,Buckingham County,Virginia,Gini Coefficient,0.4387
51031,Campbell County,Virginia,Gini Coefficient,0.42
