FIPS,Tract,County,State,measure,value
51001090101,Census Tract 901.01,Accomack County,Virginia,Insurance Coverage,0.9902964959568733
51001090102,Census Tract 901.02,Accomack County,Virginia,Insurance Coverage,0.9221374045801527
51001090201,Census Tract 902.01,Accomack County,Virginia,Insurance Coverage,0.9224779959377116
51001090202,Census Tract 902.02,Accomack County,Virginia,Insurance Coverage,0.8581681476418318
51001090300,Census Tract 903,Accomack County,Virginia,Insurance Coverage,0.7747278750591576
51001090401,Census Tract 904.01,Accomack County,Virginia,Insurance Coverage,0.8333333333333334
51001090402,Census Tract 904.02,Accomack County,Virginia,Insurance Coverage,0.7801166624397666
51001090500,Census Tract 905,Accomack County,Virginia,Insurance Coverage,0.8381156316916488
51001090600,Census Tract 906,Accomack County,Virginia,Insurance Coverage,0.9292613636363637
51001090700,Census Tract 907,Accomack County,Virginia,Insurance Coverage,0.9103271580607016
51001090800,Census Tract 908,Accomack County,Virginia,Insurance Coverage,0.9184263812554238
51001980100,Census Tract 9801,Accomack County,Virginia,Insurance Coverage,1.0
51001980200,Census Tract 9802,Accomack County,Virginia,Insurance Coverage,
51001990100,Census Tract 9901,Accomack County,Virginia,Insurance Coverage,
51001990200,Census Tract 9902,Accomack County,Virginia,Insurance Coverage,
51007930101,Census Tract 9301.01,Amelia County,Virginia,Insurance Coverage,0.9482758620689655
51007930102,Census Tract 9301.02,Amelia County,Virginia,Insurance Coverage,0.9170822942643392
51007930200,Census Tract 9302,Amelia County,Virginia,Insurance Coverage,0.9164354496490942
51011040101,Census Tract 401.01,Appomattox County,Virginia,Insurance Coverage,0.89937106918239
51011040102,Census Tract 401.02,Appomattox County,Virginia,Insurance Coverage,0.9123527800602574
51011040200,Census Tract 402,Appomattox County,Virginia,Insurance Coverage,0.8925233644859814
51011040300,Census Tract 403,Appomattox County,Virginia,Insurance Coverage,0.9390547263681592
51025930100,Census Tract 9301,Brunswick County,Virginia,Insurance Coverage,0.9395285275025623
51025930201,Census Tract 9302.01,Brunswick County,Virginia,Insurance Coverage,0.967027027027027
51025930202,Census Tract 9302.02,Brunswick County,Virginia,Insurance Coverage,
51025930203,Census Tract 9302.03,Brunswick County,Virginia,Insurance Coverage,0.9620736086175943
51025930301,Census Tract 9303.01,Brunswick County,Virginia,Insurance Coverage,0.863528009535161
51025930302,Census Tract 9303.02,Brunswick County,Virginia,Insurance Coverage,0.9471488178025035
51029930101,Census Tract 9301.01,Buckingham County,Virginia,Insurance Coverage,0.8835634985106959
51029930102,Census Tract 9301.02,Buckingham County,Virginia,Insurance Coverage,0.8815830476784045
51029930201,Census Tract 9302.01,Buckingham County,Virginia,Insurance Coverage,0.8744486915613054
51029930202,Census Tract 9302.02,Buckingham County,Virginia,Insurance Coverage,0.8875791311940624
51031020101,Census Tract 201.01,Campbell County,Virginia,Insurance Coverage,0.9013469239170003
51031020102,Census Tract 201.02,Campbell County,Virginia,Insurance Coverage,0.9248977835162471
51031020200,Census Tract 202,Campbell County,Virginia,Insurance Coverage,0.9794246176256373
51031020300,Census Tract 203,Campbell County,Virginia,Insurance Coverage,0.9618320610687023
51031020401,Census Tract 204.01,Campbell County,Virginia,Insurance Coverage,0.8608597285067874
51031020402,Census Tract 204.02,Campbell County,Virginia,Insurance Coverage,0.927049897869857
51031020403,Census Tract 204.03,Campbell County,Virginia,Insurance Coverage,0.9720978298312091
51031020500,Census Tract 205,Campbell County,Virginia,Insurance Coverage,0.9013670627315702
51031020600,Census Tract 206,Campbell County,Virginia,Insurance Coverage,0.9201937786843447
51031020700,Census Tract 207,Campbell County,Virginia,Insurance Coverage,0.8979776637488681
51031020800,Census Tract 208,Campbell County,Virginia,Insurance Coverage,0.8643197653098643
51031020900,Census Tract 209,Campbell County,Virginia,Insurance Coverage,0.8911035488575596
51033030100,Census Tract 301,Caroline County,Virginia,Insurance Coverage,0.9221251819505094
51033030201,Census Tract 302.01,Caroline County,Virginia,Insurance Coverage,0.9423558897243107
51033030202,Census Tract 302.02,Caroline County,Virginia,Insurance Coverage,0.9658875552747946
51033030300,Census Tract 303,Caroline County,Virginia,Insurance Coverage,0.9305392731535757
51033030400,Census Tract 304,Caroline County,Virginia,Insurance Coverage,0.8849516797054763
51033030501,Census Tract 305.01,Caroline County,Virginia,Insurance Coverage,0.9323943661971831
51033030502,Census Tract 305.02,Caroline County,Virginia,Insurance Coverage,0.9208587665754578
51033030503,Census Tract 305.03,Caroline County,Virginia,Insurance Coverage,0.9656799656799657
51033030600,Census Tract 306,Caroline County,Virginia,Insurance Coverage,0.9411571334648258
51036600100,Census Tract 6001,Charles City County,Virginia,Insurance Coverage,0.9266123054114158
51036600200,Census Tract 6002,Charles City County,Virginia,Insurance Coverage,0.9253300330033003
51036600300,Census Tract 6003,Charles City County,Virginia,Insurance Coverage,0.9087136929460581
51037930101,Census Tract 9301.01,Charlotte County,Virginia,Insurance Coverage,0.917981072555205
51037930102,Census Tract 9301.02,Charlotte County,Virginia,Insurance Coverage,0.9027839151568714
51037930200,Census Tract 9302,Charlotte County,Virginia,Insurance Coverage,0.8976982097186701
51037930300,Census Tract 9303,Charlotte County,Virginia,Insurance Coverage,0.8792484111633048
