FIPS,Tract,County,State,measure,value
51001090101,Census Tract 901.01,Accomack County,Virginia,PM25,6.51276520547945
51001090102,Census Tract 901.02,Accomack County,Virginia,PM25,6.51276520547945
51001090201,Census Tract 902.01,Accomack County,Virginia,PM25,6.62096054794521
51001090202,Census Tract 902.02,Accomack County,Virginia,PM25,6.62096054794521
51001090300,Census Tract 903,Accomack County,Virginia,PM25,6.56847479452055
51001090401,Census Tract 904.01,Accomack County,Virginia,PM25,6.49623589041096
51001090402,Census Tract 904.02,Accomack County,Virginia,PM25,6.49623589041096
51001090500,Census Tract 905,Accomack County,Virginia,PM25,6.51478219178082
51001090600,Census Tract 906,Accomack County,Virginia,PM25,6.49645753424658
51001090700,Census Tract 907,Accomack County,Virginia,PM25,6.47469643835616
51001090800,Census Tract 908,Accomack County,Virginia,PM25,6.40249753424658
51001980100,Census Tract 9801,Accomack County,Virginia,PM25,6.48205643835616
51001980200,Census Tract 9802,Accomack County,Virginia,PM25,6.53808082191781
51001990100,Census Tract 9901,Accomack County,Virginia,PM25,
51001990200,Census Tract 9902,Accomack County,Virginia,PM25,
51007930101,Census Tract 9301.01,Amelia County,Virginia,PM25,7.49340054794521
51007930102,Census Tract 9301.02,Amelia County,Virginia,PM25,7.49340054794521
51007930200,Census Tract 9302,Amelia County,Virginia,PM25,7.62415917808219
51011040101,Census Tract 401.01,Appomattox County,Virginia,PM25,7.23871150684931
51011040102,Census Tract 401.02,Appomattox County,Virginia,PM25,7.23871150684931
51011040200,Census Tract 402,Appomattox County,Virginia,PM25,7.1280101369863
51011040300,Census Tract 403,Appomattox County,Virginia,PM25,7.22298054794521
51025930100,Census Tract 9301,Brunswick County,Virginia,PM25,7.58457095890411
51025930201,Census Tract 9302.01,Brunswick County,Virginia,PM25,7.61533260273973
51025930202,Census Tract 9302.02,Brunswick County,Virginia,PM25,7.62585945205479
51025930203,Census Tract 9302.03,Brunswick County,Virginia,PM25,7.6304202739726
51025930301,Census Tract 9303.01,Brunswick County,Virginia,PM25,7.65528356164384
51025930302,Census Tract 9303.02,Brunswick County,Virginia,PM25,7.65528356164384
51029930101,Census Tract 9301.01,Buckingham County,Virginia,PM25,7.02344
51029930102,Census Tract 9301.02,Buckingham County,Virginia,PM25,7.19975945205479
51029930201,Census Tract 9302.01,Buckingham County,Virginia,PM25,7.21137342465753
51029930202,Census Tract 9302.02,Buckingham County,Virginia,PM25,7.09028109589041
51031020101,Census Tract 201.01,Campbell County,Virginia,PM25,7.37656575342466
51031020102,Census Tract 201.02,Campbell County,Virginia,PM25,7.35637671232877
51031020200,Census Tract 202,Campbell County,Virginia,PM25,7.42886739726027
51031020300,Census Tract 203,Campbell County,Virginia,PM25,7.39051287671233
51031020401,Census Tract 204.01,Campbell County,Virginia,PM25,7.41097260273973
51031020402,Census Tract 204.02,Campbell County,Virginia,PM25,7.38646136986301
51031020403,Census Tract 204.03,Campbell County,Virginia,PM25,7.40464191780822
51031020500,Census Tract 205,Campbell County,Virginia,PM25,7.43687150684932
51031020600,Census Tract 206,Campbell County,Virginia,PM25,7.42869150684932
51031020700,Census Tract 207,Campbell County,Virginia,PM25,7.43927698630137
51031020800,Census Tract 208,Campbell County,Virginia,PM25,7.39406739726027
51031020900,Census Tract 209,Campbell County,Virginia,PM25,7.33360438356164
51033030100,Census Tract 301,Caroline County,Virginia,PM25,7.49979589041096
51033030201,Census Tract 302.01,Caroline County,Virginia,PM25,7.55006712328767
51033030202,Census Tract 302.02,Caroline County,Virginia,PM25,7.34450547945205
51033030300,Census Tract 303,Caroline County,Virginia,PM25,7.51281178082192
51033030400,Census Tract 304,Caroline County,Virginia,PM25,7.58440191780822
51033030501,Census Tract 305.01,Caroline County,Virginia,PM25,7.5617298630137
51033030502,Census Tract 305.02,Caroline County,Virginia,PM25,7.5617298630137
51033030503,Census Tract 305.03,Caroline County,Virginia,PM25,7.5617298630137
51033030600,Census Tract 306,Caroline County,Virginia,PM25,7.65468520547945
51036600100,Census Tract 6001,Charles City County,Virginia,PM25,7.79354301369863
51036600200,Census Tract 6002,Charles City County,Virginia,PM25,7.60604301369863
51036600300,Census Tract 6003,Charles City County,Virginia,PM25,7.35911178082192
51037930101,Census Tract 9301.01,Charlotte County,Virginia,PM25,7.32882356164384
51037930102,Census Tract 9301.02,Charlotte County,Virginia,PM25,7.32882356164384
51037930200,Census Tract 9302,Charlotte County,Virginia,PM25,7.34559726027397
51037930300,Census Tract 9303,Charlotte County,Virginia,PM25,7.50424219178082
51041100106,Census Tract 1001.06,Chesterfield County,Virginia,PM25,8.33989315068493
51041100107,Census Tract 1001.07,Chesterfield County,Virginia,PM25,8.35144767123288
51041100206,Census Tract 1002.06,Chesterfield County,Virginia,PM25,8.32402164383562
51041100208,Census Tract 1002.08,Chesterfield County,Virginia,PM25,8.28144602739726
51041100209,Census Tract 1002.09,Chesterfield County,Virginia,PM25,8.32897835616438
51041100210,Census Tract 1002.10,Chesterfield County,Virginia,PM25,8.34699917808219
51041100211,Census Tract 1002.11,Chesterfield County,Virginia,PM25,8.33766602739726
51041100212,Census Tract 1002.12,Chesterfield County,Virginia,PM25,8.33766602739726
51041100300,Census Tract 1003,Chesterfield County,Virginia,PM25,8.32536191780822
51041100403,Census Tract 1004.03,Chesterfield County,Virginia,PM25,8.13892246575342
51041100404,Census Tract 1004.04,Chesterfield County,Virginia,PM25,8.31073698630137
51041100405,Census Tract 1004.05,Chesterfield County,Virginia,PM25,8.32363589041096
51041100406,Census Tract 1004.06,Chesterfield County,Virginia,PM25,8.29960301369863
51041100407,Census Tract 1004.07,Chesterfield County,Virginia,PM25,8.27234931506849
51041100409,Census Tract 1004.09,Chesterfield County,Virginia,PM25,8.23260219178082
51041100410,Census Tract 1004.10,Chesterfield County,Virginia,PM25,8.20694164383562
51041100505,Census Tract 1005.05,Chesterfield County,Virginia,PM25,8.18830410958904
51041100506,Census Tract 1005.06,Chesterfield County,Virginia,PM25,8.16110739726027
51041100507,Census Tract 1005.07,Chesterfield County,Virginia,PM25,8.13610821917808
51041100508,Census Tract 1005.08,Chesterfield County,Virginia,PM25,8.13848547945205
51041100509,Census Tract 1005.09,Chesterfield County,Virginia,PM25,8.11433150684931
51041100510,Census Tract 1005.10,Chesterfield County,Virginia,PM25,8.04546438356164
51041100600,Census Tract 1006,Chesterfield County,Virginia,PM25,7.98541616438356
51041100701,Census Tract 1007.01,Chesterfield County,Virginia,PM25,7.98747342465753
51041100702,Census Tract 1007.02,Chesterfield County,Virginia,PM25,8.02361287671233
51041100704,Census Tract 1007.04,Chesterfield County,Virginia,PM25,7.94799150684932
51041100705,Census Tract 1007.05,Chesterfield County,Virginia,PM25,7.94799150684932
51041100804,Census Tract 1008.04,Chesterfield County,Virginia,PM25,8.32993671232877
51041100805,Census Tract 1008.05,Chesterfield County,Virginia,PM25,8.3229298630137
51041100806,Census Tract 1008.06,Chesterfield County,Virginia,PM25,8.3213802739726
51041100807,Census Tract 1008.07,Chesterfield County,Virginia,PM25,8.30273890410959
51041100812,Census Tract 1008.12,Chesterfield County,Virginia,PM25,8.24125671232877
51041100814,Census Tract 1008.14,Chesterfield County,Virginia,PM25,8.26971479452055
51041100815,Census Tract 1008.15,Chesterfield County,Virginia,PM25,8.28037808219178
51041100816,Census Tract 1008.16,Chesterfield County,Virginia,PM25,8.25353397260274
51041100817,Census Tract 1008.17,Chesterfield County,Virginia,PM25,8.2268797260274
51041100818,Census Tract 1008.18,Chesterfield County,Virginia,PM25,8.28171534246575
51041100819,Census Tract 1008.19,Chesterfield County,Virginia,PM25,8.32015232876712
51041100820,Census Tract 1008.20,Chesterfield County,Virginia,PM25,8.28166767123288
51041100821,Census Tract 1008.21,Chesterfield County,Virginia,PM25,8.1061194520548
51041100822,Census Tract 1008.22,Chesterfield County,Virginia,PM25,8.12628301369863
51041100823,Census Tract 1008.23,Chesterfield County,Virginia,PM25,8.20882712328767
51041100902,Census Tract 1009.02,Chesterfield County,Virginia,PM25,8.31211616438356
51041100907,Census Tract 1009.07,Chesterfield County,Virginia,PM25,8.30856054794521
51041100910,Census Tract 1009.10,Chesterfield County,Virginia,PM25,8.27042493150685
51041100912,Census Tract 1009.12,Chesterfield County,Virginia,PM25,8.13406493150685
51041100915,Census Tract 1009.15,Chesterfield County,Virginia,PM25,8.20934301369863
51041100919,Census Tract 1009.19,Chesterfield County,Virginia,PM25,8.20738356164384
51041100920,Census Tract 1009.20,Chesterfield County,Virginia,PM25,8.26506438356164
51041100921,Census Tract 1009.21,Chesterfield County,Virginia,PM25,8.28411205479452
51041100922,Census Tract 1009.22,Chesterfield County,Virginia,PM25,8.28552630136986
51041100923,Census Tract 1009.23,Chesterfield County,Virginia,PM25,8.31690712328767
51041100924,Census Tract 1009.24,Chesterfield County,Virginia,PM25,8.08775780821918
51041100926,Census Tract 1009.26,Chesterfield County,Virginia,PM25,8.24117534246575
51041100928,Census Tract 1009.28,Chesterfield County,Virginia,PM25,8.11648575342466
51041100929,Census Tract 1009.29,Chesterfield County,Virginia,PM25,8.19018547945205
51041100930,Census Tract 1009.30,Chesterfield County,Virginia,PM25,8.20081534246575
51041100931,Census Tract 1009.31,Chesterfield County,Virginia,PM25,8.24388684931507
51041100932,Census Tract 1009.32,Chesterfield County,Virginia,PM25,8.23901643835617
51041100933,Census Tract 1009.33,Chesterfield County,Virginia,PM25,8.16103260273973
