Type,Name,Address,State,Phone_number,Notes,latitude,longitude,FIPS
Colon & Rectal Surgeon,Paul D Charron M.D.,"7605 Forest Ave, Suite 308, Richmond, VA 23229",VA,804-288-7077,,,,
Colon & Rectal Surgeon,Ayana Chase Greaves MD,"4548 Empire Ct, Fredericksburg, VA 22408",VA,540-373-2244,,,,
Colon & Rectal Surgeon,Christina Cheng M.D.,"2710 Prosperity Ave Ste 200, Fairfax, VA 22031",VA,703-650-2333,,,,
Colon & Rectal Surgeon,"Colon And Rectal Endoscopy And Surgery Center, Llc","7504 Right Flank Road, Mechanicsville, VA 23116",VA,804-559-3400,,,,
Colon & Rectal Surgeon,Colon And Rectal Specialists Ltd,"7605 Forest Ave, Suite 308, Richmond, VA 23229",VA,804-288-7077,,,,
Colon & Rectal Surgeon,"Colon Rectal Surgery Of Tidewater, P.C.","3235 Academy Ave, Suite 100, Portsmouth, VA 23703",VA,757-484-9653,,,,
Colon & Rectal Surgeon,"Eastern Virginia Surgical Associates, Inc.","3212 Churchland Boulevard, Suite 8, Chesapeake, VA 23321",VA,757-399-0886,,,,
Colon & Rectal Surgeon,"Fairfax Colon & Rectal Surgery Center, Llc","2710 Prosperity Ave Ste 200, Fairfax, VA 22031",VA,703-280-2841,,,,
Colon & Rectal Surgeon,"Fairfax Colon & Rectal Surgery, Pc","2710 Propersity Ave, Ste 200, Fairfax, VA 22031",VA,703-280-2841,,,,
Colon & Rectal Surgeon,Gregory P Fitzharris M.D.,"3000 Coliseum Dr Ste 200, Hampton, VA 23666",VA,757-736-7280,,,,
Colon & Rectal Surgeon,Joseph L Frenkel M.D.,"5818 Harbour View Blvd, Suite B-2, Suffolk, VA 23435",VA,757-483-3030,,,,
Colon & Rectal Surgeon,Cary L Gentry M.D.,"7605 Forest Ave, Suite 308, Richmond, VA 23229",VA,804-288-7077,,,,
Colon & Rectal Surgeon,Paul A Ghaemmaghami MD,"5855 Bremo Rd, Suite 101, Richmond, VA 23226",VA,804-673-0080,,,,
Colon & Rectal Surgeon,Carlos J Glanville Miranda M.D.,"2790 Godwin Blvd Ste 305, Suffolk, VA 23434",VA,757-931-4222,,,,
Colon & Rectal Surgeon,Zachary A Gregg M.D.,"500 Martha Jefferson Dr Fl 5, Charlottesville, VA 22911",VA,434-654-5260,,,,
Colon & Rectal Surgeon,Sook C Hoang M.D.,"1215 Lee St, Charlottesville, VA 22908",VA,434-243-3090,,,,
Colon & Rectal Surgeon,Beth R Jaklic M.D.,"1301 First Colonial Rd Ste 201, Virginia Beach, VA 23454",VA,757-419-4919,,,,
Colon & Rectal Surgeon,Katherine W Khalifeh MD,"2710 Prosperity Ave, Suite 200, Fairfax, VA 22031",VA,703-280-2841,,,,
Colon & Rectal Surgeon,Rebekah Kim M.D.,"2710 Prosperity Ave Ste 200, Fairfax, VA 22031",VA,703-280-2841,,,,
Colon & Rectal Surgeon,Paul J Kovalcik MD,"3105 American Legion Road, Suite A, Chesapeake, VA 23321",VA,757-686-2687,,,,
Colon & Rectal Surgeon,Chong S Lee M.D.,"155 Kinglsey Lane Suite 405, Bon Secours Surgical Specialists, Norfolk, VA 23505",VA,757-278-2220,,,,
Colon & Rectal Surgeon,John K Chacko M.D.,"3212 Churchland Boulevard, Suite 8, Chesapeake, VA 23321",VA,757-399-0886,,,,
Colon & Rectal Surgeon,"Centra Medical Group, Llc","1906 Thomson Dr, Lynchburg, VA 24501",VA,434-947-3933,,,,
Colon & Rectal Surgeon,"Centra Health Professional Services, Llc","1801 Thomson Dr, Lynchburg, VA 24501",VA,434-947-3933,,,,
