FIPS,County,State,measure,value
51001,Accomack County,Virginia,Vacancy Rate,0.3466598956650201
51007,Amelia County,Virginia,Vacancy Rate,0.08546255506607929
51011,Appomattox County,Virginia,Vacancy Rate,0.14791351053573887
51025,Brunswick County,Virginia,Vacancy Rate,0.2566717019133938
51029,Buckingham County,Virginia,Vacancy Rate,0.20256338813039845
51031,Campbell County,Virginia,Vacancy Rate,0.11590285782423784
51033,Caroline County,Virginia,Vacancy Rate,0.11096742907944718
51036,Charles City County,Virginia,Vacancy Rate,0.10088929776142287
51037,Charlotte County,Virginia,Vacancy Rate,0.2327169748459104
51041,Chesterfield County,Virginia,Vacancy Rate,0.039663681228294646
51049,Cumberland County,Virginia,Vacancy Rate,0.13971539456662355
51053,Dinwiddie County,Virginia,Vacancy Rate,0.12798301486199576
51057,Essex County,Virginia,Vacancy Rate,0.251566852367688
51073,Gloucester County,Virginia,Vacancy Rate,0.12210948560641813
51075,Goochland County,Virginia,Vacancy Rate,0.08400348803410522
51081,Greensville County,Virginia,Vacancy Rate,0.2099776619508563
51083,Halifax County,Virginia,Vacancy Rate,0.2232127451544257
51085,Hanover County,Virginia,Vacancy Rate,0.055794996720697085
51087,Henrico County,Virginia,Vacancy Rate,0.05264400040049776
51089,Henry County,Virginia,Vacancy Rate,0.19686827167743198
51093,Isle Of Wight County,Virginia,Vacancy Rate,0.07611629048086359
51095,James City County,Virginia,Vacancy Rate,0.11912587723194457
51097,King And Queen County,Virginia,Vacancy Rate,0.1880069524913094
51099,King George County,Virginia,Vacancy Rate,0.07835675253708041
51101,King William County,Virginia,Vacancy Rate,0.08721248630887185
51103,Lancaster County,Virginia,Vacancy Rate,0.30279044808156697
51109,Louisa County,Virginia,Vacancy Rate,0.18478947670745016
51111,Lunenburg County,Virginia,Vacancy Rate,0.2680272108843537
51115,Mathews County,Virginia,Vacancy Rate,0.3533260632497274
51117,Mecklenburg County,Virginia,Vacancy Rate,0.33405251802346997
51119,Middlesex County,Virginia,Vacancy Rate,0.35733333333333334
51127,New Kent County,Virginia,Vacancy Rate,0.06872967821504652
51131,Northampton County,Virginia,Vacancy Rate,0.2813688212927757
51133,Northumberland County,Virginia,Vacancy Rate,0.4294458045849099
51135,Nottoway County,Virginia,Vacancy Rate,0.2003313752071095
51143,Pittsylvania County,Virginia,Vacancy Rate,0.16836390612355004
51145,Powhatan County,Virginia,Vacancy Rate,0.060709592641261495
51147,Prince Edward County,Virginia,Vacancy Rate,0.21998026099353
51149,Prince George County,Virginia,Vacancy Rate,0.05642420122365738
51159,Richmond County,Virginia,Vacancy Rate,0.2854600915099136
51175,Southampton County,Virginia,Vacancy Rate,0.13527197195897703
51177,Spotsylvania County,Virginia,Vacancy Rate,0.0614857590290692
51179,Stafford County,Virginia,Vacancy Rate,0.04770246597493599
51181,Surry County,Virginia,Vacancy Rate,0.20234604105571846
51183,Sussex County,Virginia,Vacancy Rate,0.21291711517761033
51193,Westmoreland County,Virginia,Vacancy Rate,0.2894404332129964
51199,York County,Virginia,Vacancy Rate,0.08120725219845837
51550,Chesapeake City,Virginia,Vacancy Rate,0.049151911522305525
51570,Colonial Heights City,Virginia,Vacancy Rate,0.07919082274577526
51590,Danville City,Virginia,Vacancy Rate,0.1650197628458498
51595,Emporia City,Virginia,Vacancy Rate,0.19828203292770222
51620,Franklin City,Virginia,Vacancy Rate,0.10417741103661682
51630,Fredericksburg City,Virginia,Vacancy Rate,0.06379065295543851
51650,Hampton City,Virginia,Vacancy Rate,0.08148529340816622
51670,Hopewell City,Virginia,Vacancy Rate,0.10832130832130832
51680,Lynchburg City,Virginia,Vacancy Rate,0.13966762790974224
51690,Martinsville City,Virginia,Vacancy Rate,0.1994338287331918
51700,Newport News City,Virginia,Vacancy Rate,0.07978579675256085
51710,Norfolk City,Virginia,Vacancy Rate,0.07994294035483966
51730,Petersburg City,Virginia,Vacancy Rate,0.18982804010530444
51735,Poquoson City,Virginia,Vacancy Rate,0.05890746025275173
51740,Portsmouth City,Virginia,Vacancy Rate,0.10204034098849397
51760,Richmond City,Virginia,Vacancy Rate,0.10345296850050806
51800,Suffolk City,Virginia,Vacancy Rate,0.07290707766760475
51810,Virginia Beach City,Virginia,Vacancy Rate,0.06417459973465407
51830,Williamsburg City,Virginia,Vacancy Rate,0.15969046781568766
51001,Accomack County,Virginia,No Vehicle,0.057412105835447626
51007,Amelia County,Virginia,No Vehicle,0.0025919326097521463
51011,Appomattox County,Virginia,No Vehicle,0.00907244414353419
51025,Brunswick County,Virginia,No Vehicle,0.018478798878072925
51029,Buckingham County,Virginia,No Vehicle,0.03788246721709568
51031,Campbell County,Virginia,No Vehicle,0.0278343250861259
51033,Caroline County,Virginia,No Vehicle,0.026680054507638242
51036,Charles City County,Virginia,No Vehicle,0.023507578100835137
51037,Charlotte County,Virginia,No Vehicle,0.014899211218229623
51041,Chesterfield County,Virginia,No Vehicle,0.011459733306785689
51049,Cumberland County,Virginia,No Vehicle,0.009771986970684038
51053,Dinwiddie County,Virginia,No Vehicle,0.01638071578293611
51057,Essex County,Virginia,No Vehicle,0.027126436781609194
51073,Gloucester County,Virginia,No Vehicle,0.007986278608565149
51075,Goochland County,Virginia,No Vehicle,0.018414876331467774
51081,Greensville County,Virginia,No Vehicle,0.0425531914893617
51083,Halifax County,Virginia,No Vehicle,0.02185508964291006
51085,Hanover County,Virginia,No Vehicle,0.010156166625164526
51087,Henrico County,Virginia,No Vehicle,0.023635019414480235
51089,Henry County,Virginia,No Vehicle,0.020144470444602706
51093,Isle Of Wight County,Virginia,No Vehicle,0.009764255273237309
51095,James City County,Virginia,No Vehicle,0.018565063406831943
51097,King And Queen County,Virginia,No Vehicle,0.007159904534606206
51099,King George County,Virginia,No Vehicle,0.00853932584269663
51101,King William County,Virginia,No Vehicle,0.0227198608544407
51103,Lancaster County,Virginia,No Vehicle,0.014434033932641175
51109,Louisa County,Virginia,No Vehicle,0.018006278505005035
51111,Lunenburg County,Virginia,No Vehicle,0.021968365553602813
51115,Mathews County,Virginia,No Vehicle,0.0
51117,Mecklenburg County,Virginia,No Vehicle,0.026217228464419477
51119,Middlesex County,Virginia,No Vehicle,0.007120605251446373
51127,New Kent County,Virginia,No Vehicle,0.012413672523822012
51131,Northampton County,Virginia,No Vehicle,0.02924097884695147
51133,Northumberland County,Virginia,No Vehicle,0.06587124036788466
51135,Nottoway County,Virginia,No Vehicle,0.043631245601688955
51143,Pittsylvania County,Virginia,No Vehicle,0.02103309619548407
51145,Powhatan County,Virginia,No Vehicle,0.006640197152245345
51147,Prince Edward County,Virginia,No Vehicle,0.027609135588320323
51149,Prince George County,Virginia,No Vehicle,0.024371931850996245
51159,Richmond County,Virginia,No Vehicle,0.003517748640869843
51175,Southampton County,Virginia,No Vehicle,0.02009273570324575
51177,Spotsylvania County,Virginia,No Vehicle,0.016618592324699474
51179,Stafford County,Virginia,No Vehicle,0.009511032000106268
51181,Surry County,Virginia,No Vehicle,0.00513973658849984
51183,Sussex County,Virginia,No Vehicle,0.053429929816617615
51193,Westmoreland County,Virginia,No Vehicle,0.019774404679014066
51199,York County,Virginia,No Vehicle,0.01613675827794743
51550,Chesapeake City,Virginia,No Vehicle,0.019918571357640556
51570,Colonial Heights City,Virginia,No Vehicle,0.02120141342756184
51590,Danville City,Virginia,No Vehicle,0.055907497386063106
51595,Emporia City,Virginia,No Vehicle,0.04390471742176553
51620,Franklin City,Virginia,No Vehicle,0.04048824054778208
51630,Fredericksburg City,Virginia,No Vehicle,0.04383638140443948
51650,Hampton City,Virginia,No Vehicle,0.0338737474644257
51670,Hopewell City,Virginia,No Vehicle,0.012309618193198415
51680,Lynchburg City,Virginia,No Vehicle,0.051443134001066794
51690,Martinsville City,Virginia,No Vehicle,0.0693293142426526
51700,Newport News City,Virginia,No Vehicle,0.053933616630297464
51710,Norfolk City,Virginia,No Vehicle,0.05668284877906871
51730,Petersburg City,Virginia,No Vehicle,0.07366055754511622
51735,Poquoson City,Virginia,No Vehicle,0.0022102936532996525
51740,Portsmouth City,Virginia,No Vehicle,0.053737941196785856
51760,Richmond City,Virginia,No Vehicle,0.06728733557769062
51800,Suffolk City,Virginia,No Vehicle,0.032191231509534846
51810,Virginia Beach City,Virginia,No Vehicle,0.017648788273342014
51830,Williamsburg City,Virginia,No Vehicle,0.03830495928941525
51001,Accomack County,Virginia,Single Parent Household,0.055045223289994345
51007,Amelia County,Virginia,Single Parent Household,0.04258188824662813
51011,Appomattox County,Virginia,Single Parent Household,0.06174236301923388
51025,Brunswick County,Virginia,Single Parent Household,0.07095681625740898
51029,Buckingham County,Virginia,Single Parent Household,0.0627183787561146
51031,Campbell County,Virginia,Single Parent Household,0.04801510587600594
51033,Caroline County,Virginia,Single Parent Household,0.052
51036,Charles City County,Virginia,Single Parent Household,0.03240109140518418
51037,Charlotte County,Virginia,Single Parent Household,0.058619192357794184
51041,Chesterfield County,Virginia,Single Parent Household,0.06850399695470118
51049,Cumberland County,Virginia,Single Parent Household,0.10802005012531328
51053,Dinwiddie County,Virginia,Single Parent Household,0.04304635761589404
51057,Essex County,Virginia,Single Parent Household,0.08280995580367527
51073,Gloucester County,Virginia,Single Parent Household,0.031447386104018274
51075,Goochland County,Virginia,Single Parent Household,0.027290035963613287
51081,Greensville County,Virginia,Single Parent Household,0.0804272698711907
51083,Halifax County,Virginia,Single Parent Household,0.09077447060565674
51085,Hanover County,Virginia,Single Parent Household,0.04877201686926321
51087,Henrico County,Virginia,Single Parent Household,0.07244932623711924
51089,Henry County,Virginia,Single Parent Household,0.05000974848898421
51093,Isle Of Wight County,Virginia,Single Parent Household,0.05935072694682334
51095,James City County,Virginia,Single Parent Household,0.05496167809600645
51097,King And Queen County,Virginia,Single Parent Household,0.011773100249732429
