FIPS,Tract,County,State,measure,value
51001090101,Census Tract 901.01,Accomack County,Virginia,Vacancy Rate,0.5067599067599068
51001090102,Census Tract 901.02,Accomack County,Virginia,Vacancy Rate,0.6517706576728499
51001090201,Census Tract 902.01,Accomack County,Virginia,Vacancy Rate,0.5802213001383126
51001090202,Census Tract 902.02,Accomack County,Virginia,Vacancy Rate,0.1492842535787321
51001090300,Census Tract 903,Accomack County,Virginia,Vacancy Rate,0.31683958499600956
51001090401,Census Tract 904.01,Accomack County,Virginia,Vacancy Rate,0.07131410256410256
51001090402,Census Tract 904.02,Accomack County,Virginia,Vacancy Rate,0.222684703433923
51001090500,Census Tract 905,Accomack County,Virginia,Vacancy Rate,0.26034063260340634
51001090600,Census Tract 906,Accomack County,Virginia,Vacancy Rate,0.2580030487804878
51001090700,Census Tract 907,Accomack County,Virginia,Vacancy Rate,0.18295371050698017
51001090800,Census Tract 908,Accomack County,Virginia,Vacancy Rate,0.3234792495736214
51001980100,Census Tract 9801,Accomack County,Virginia,Vacancy Rate,0.0
51001980200,Census Tract 9802,Accomack County,Virginia,Vacancy Rate,
51001990100,Census Tract 9901,Accomack County,Virginia,Vacancy Rate,
51001990200,Census Tract 9902,Accomack County,Virginia,Vacancy Rate,
51007930101,Census Tract 9301.01,Amelia County,Virginia,Vacancy Rate,0.09579667644183773
51007930102,Census Tract 9301.02,Amelia County,Virginia,Vacancy Rate,0.11409043112513144
51007930200,Census Tract 9302,Amelia County,Virginia,Vacancy Rate,0.06181818181818182
51011040101,Census Tract 401.01,Appomattox County,Virginia,Vacancy Rate,0.13051823416506717
51011040102,Census Tract 401.02,Appomattox County,Virginia,Vacancy Rate,0.09490445859872612
51011040200,Census Tract 402,Appomattox County,Virginia,Vacancy Rate,0.13095788986580287
51011040300,Census Tract 403,Appomattox County,Virginia,Vacancy Rate,0.22267412302999492
51025930100,Census Tract 9301,Brunswick County,Virginia,Vacancy Rate,0.2552325581395349
51025930201,Census Tract 9302.01,Brunswick County,Virginia,Vacancy Rate,0.22163865546218486
51025930202,Census Tract 9302.02,Brunswick County,Virginia,Vacancy Rate,
51025930203,Census Tract 9302.03,Brunswick County,Virginia,Vacancy Rate,0.1931407942238267
51025930301,Census Tract 9303.01,Brunswick County,Virginia,Vacancy Rate,0.3950207468879668
51025930302,Census Tract 9303.02,Brunswick County,Virginia,Vacancy Rate,0.26202052944354404
51029930101,Census Tract 9301.01,Buckingham County,Virginia,Vacancy Rate,0.19767441860465115
51029930102,Census Tract 9301.02,Buckingham County,Virginia,Vacancy Rate,0.192005710206995
51029930201,Census Tract 9302.01,Buckingham County,Virginia,Vacancy Rate,0.16105327617881202
51029930202,Census Tract 9302.02,Buckingham County,Virginia,Vacancy Rate,0.2416595380667237
51031020101,Census Tract 201.01,Campbell County,Virginia,Vacancy Rate,0.08177408177408177
51031020102,Census Tract 201.02,Campbell County,Virginia,Vacancy Rate,0.14644137224782386
51031020200,Census Tract 202,Campbell County,Virginia,Vacancy Rate,0.09778672032193159
51031020300,Census Tract 203,Campbell County,Virginia,Vacancy Rate,0.04474708171206226
51031020401,Census Tract 204.01,Campbell County,Virginia,Vacancy Rate,0.08955916473317865
51031020402,Census Tract 204.02,Campbell County,Virginia,Vacancy Rate,0.08944099378881988
51031020403,Census Tract 204.03,Campbell County,Virginia,Vacancy Rate,0.07016788635385278
51031020500,Census Tract 205,Campbell County,Virginia,Vacancy Rate,0.11300639658848614
51031020600,Census Tract 206,Campbell County,Virginia,Vacancy Rate,0.18807092960773777
51031020700,Census Tract 207,Campbell County,Virginia,Vacancy Rate,0.12947299934938192
51031020800,Census Tract 208,Campbell County,Virginia,Vacancy Rate,0.19527027027027027
51031020900,Census Tract 209,Campbell County,Virginia,Vacancy Rate,0.1824853228962818
51033030100,Census Tract 301,Caroline County,Virginia,Vacancy Rate,0.05899035734543392
51033030201,Census Tract 302.01,Caroline County,Virginia,Vacancy Rate,0.045
51033030202,Census Tract 302.02,Caroline County,Virginia,Vacancy Rate,0.16203703703703703
51033030300,Census Tract 303,Caroline County,Virginia,Vacancy Rate,0.060155697098372256
