FIPS,County,State,measure,value
51001,Accomack County,Virginia,Met_Breast_Screen,0.74
51007,Amelia County,Virginia,Met_Breast_Screen,0.748
51011,Appomattox County,Virginia,Met_Breast_Screen,0.742
51025,Brunswick County,Virginia,Met_Breast_Screen,0.763
51029,Buckingham County,Virginia,Met_Breast_Screen,0.727
51031,Campbell County,Virginia,Met_Breast_Screen,0.72
51033,Caroline County,Virginia,Met_Breast_Screen,0.757
51036,Charles City County,Virginia,Met_Breast_Screen,0.767
51037,Charlotte County,Virginia,Met_Breast_Screen,0.722
51041,Chesterfield County,Virginia,Met_Breast_Screen,0.767
51049,Cumberland County,Virginia,Met_Breast_Screen,0.754
51053,Dinwiddie County,Virginia,Met_Breast_Screen,0.765
51057,Essex County,Virginia,Met_Breast_Screen,0.762
51073,Gloucester County,Virginia,Met_Breast_Screen,0.7440000000000001
51075,Goochland County,Virginia,Met_Breast_Screen,0.774
51081,Greensville County,Virginia,Met_Breast_Screen,0.7659999999999999
51083,Halifax County,Virginia,Met_Breast_Screen,0.73
51085,Hanover County,Virginia,Met_Breast_Screen,0.7909999999999999
51087,Henrico County,Virginia,Met_Breast_Screen,0.789
51089,Henry County,Virginia,Met_Breast_Screen,0.758
51093,Isle Of Wight County,Virginia,Met_Breast_Screen,0.765
51095,James City County,Virginia,Met_Breast_Screen,0.784
51097,King And Queen County,Virginia,Met_Breast_Screen,0.762
51099,King George County,Virginia,Met_Breast_Screen,0.767
51101,King William County,Virginia,Met_Breast_Screen,0.764
51103,Lancaster County,Virginia,Met_Breast_Screen,0.7490000000000001
51109,Louisa County,Virginia,Met_Breast_Screen,0.757
51111,Lunenburg County,Virginia,Met_Breast_Screen,0.752
51115,Mathews County,Virginia,Met_Breast_Screen,0.738
51117,Mecklenburg County,Virginia,Met_Breast_Screen,0.753
51119,Middlesex County,Virginia,Met_Breast_Screen,0.7440000000000001
51127,New Kent County,Virginia,Met_Breast_Screen,0.7659999999999999
51131,Northampton County,Virginia,Met_Breast_Screen,0.757
51133,Northumberland County,Virginia,Met_Breast_Screen,0.738
51135,Nottoway County,Virginia,Met_Breast_Screen,0.718
51143,Pittsylvania County,Virginia,Met_Breast_Screen,0.764
51145,Powhatan County,Virginia,Met_Breast_Screen,0.748
51147,Prince Edward County,Virginia,Met_Breast_Screen,0.746
51149,Prince George County,Virginia,Met_Breast_Screen,0.75
51159,Richmond County,Virginia,Met_Breast_Screen,0.745
51175,Southampton County,Virginia,Met_Breast_Screen,0.7509999999999999
51177,Spotsylvania County,Virginia,Met_Breast_Screen,0.746
