FIPS,County,State,Met_Breast_Screen,Met_Cervical_Screen,Met_Colon_Screen,Currently_Smoke,BMI_Obese,Physically_Inactive,Binge_Drinking,Sleep_Debt,Cancer_Prevalence,Bad_Health,Poor_Physical,Poor_Mental,Depression,Diabetes_DX,High_BP,BP_Medicine,CHD,Had_Stroke,Kidney_Disease,Asthma,COPD,No_Teeth,Recent_Checkup,Recent_Dentist
51001090100,Accomack County,Virginia,76.9,83.8,76.2,15.1,34.1,23.8,14.2,31.7,9.7,17.0,12.6,13.7,21.3,12.4,40.6,83.6,8.0,3.9,3.7,10.2,9.1,11.3,79.4,69.6
51001090200,Accomack County,Virginia,78.7,83.1,73.2,18.4,39.2,27.8,14.3,36.9,7.4,20.1,13.1,15.7,20.8,13.8,41.1,81.8,7.0,4.0,3.6,11.1,8.7,15.0,78.9,62.6
51001090300,Accomack County,Virginia,77.2,80.8,69.3,23.6,41.5,33.3,13.7,37.9,7.7,25.4,16.3,18.0,23.2,15.8,43.5,81.9,8.7,4.8,4.0,11.8,11.7,20.4,77.8,55.2
51001090400,Accomack County,Virginia,79.0,79.2,67.6,24.8,44.9,38.3,12.9,40.8,6.4,30.3,17.2,19.3,22.0,17.8,43.9,80.7,8.3,5.3,4.3,12.6,11.5,26.8,77.5,48.1
51001090500,Accomack County,Virginia,77.5,81.3,69.5,22.6,41.6,33.3,14.0,38.6,6.9,25.2,15.4,17.8,22.1,15.2,41.8,80.6,7.7,4.6,3.8,11.8,10.5,21.0,77.3,54.8
51001090600,Accomack County,Virginia,79.1,84.2,75.0,15.1,36.3,25.6,13.2,33.4,9.4,18.5,13.0,13.9,20.3,13.8,42.7,84.1,8.0,4.3,3.9,10.6,9.1,12.4,80.6,67.6
51001090700,Accomack County,Virginia,78.7,84.1,74.1,18.1,39.8,28.3,13.3,37.2,8.0,21.0,13.7,15.5,20.6,14.7,43.1,82.8,7.5,4.4,3.9,11.4,9.2,15.0,80.1,62.8
51001090800,Accomack County,Virginia,79.6,81.7,70.4,22.6,44.8,34.1,12.4,39.9,7.2,26.6,16.3,17.8,21.8,18.3,46.5,83.2,8.4,5.1,4.3,12.4,11.2,20.1,80.0,54.5
51007930100,Amelia County,Virginia,77.9,84.1,73.4,18.3,40.2,25.9,16.2,36.2,7.0,18.7,12.5,16.6,22.8,12.6,37.6,79.7,6.2,3.6,3.2,10.9,8.1,14.1,75.4,64.1
51007930200,Amelia County,Virginia,77.9,84.2,73.3,18.0,40.3,26.1,15.8,36.3,7.4,19.0,12.8,16.4,22.6,13.0,38.7,80.4,6.5,3.8,3.4,11.0,8.4,14.1,76.1,64.1
51011040100,Appomattox County,Virginia,77.0,83.4,73.3,19.0,40.6,27.3,14.9,37.1,7.7,19.6,13.4,16.9,23.5,12.8,39.3,79.9,7.0,3.9,3.5,11.2,9.1,14.7,77.1,63.5
51011040200,Appomattox County,Virginia,78.1,85.8,75.5,15.9,39.0,23.3,16.0,36.5,7.4,16.2,11.4,15.2,21.8,11.5,37.4,79.5,5.9,3.4,3.2,10.6,7.2,11.5,77.3,69.0
51011040300,Appomattox County,Virginia,76.5,83.7,73.1,19.8,41.3,27.8,14.8,37.7,7.6,20.5,13.7,16.9,23.1,13.6,40.4,80.2,7.2,4.0,3.6,11.3,9.4,15.1,77.2,62.8
51025930100,Brunswick County,Virginia,80.4,83.5,72.4,20.3,43.9,30.4,13.0,38.7,7.5,24.4,14.8,17.2,20.7,17.0,45.2,82.7,7.8,5.0,4.2,12.0,9.8,18.6,79.9,58.5
51025930201,Brunswick County,Virginia,80.9,83.1,73.6,18.3,42.6,28.8,14.0,40.3,5.9,22.5,13.0,18.7,20.0,14.3,39.9,78.3,6.0,4.2,3.6,12.5,7.8,18.5,79.2,58.2
51025930202,Brunswick County,Virginia,79.8,82.6,61.7,26.7,46.6,27.5,21.3,45.6,2.1,21.1,10.8,19.4,17.7,8.7,32.6,58.5,3.0,2.1,1.9,9.9,5.1,19.4,70.1,45.9
51025930203,Brunswick County,Virginia,80.8,82.6,71.7,22.2,46.6,33.9,11.8,41.1,7.2,27.9,16.2,18.8,21.0,18.9,47.3,82.4,8.2,5.6,4.6,12.9,10.7,21.8,80.8,53.6
51025930300,Brunswick County,Virginia,79.2,83.7,73.1,20.3,42.7,29.5,13.2,37.5,7.8,23.4,14.6,16.5,20.8,16.2,44.6,82.7,7.8,4.7,4.1,11.5,10.0,16.9,79.6,60.0
51029930101,Buckingham County,Virginia,76.6,81.5,69.3,23.6,42.0,30.9,14.3,38.4,7.0,24.3,15.3,18.5,23.8,15.6,42.7,80.8,7.6,4.5,3.8,11.9,10.7,19.3,77.6,56.0
51029930102,Buckingham County,Virginia,77.8,83.2,70.8,20.6,41.0,28.8,14.3,38.4,7.0,22.3,13.9,17.1,21.8,14.7,42.4,80.9,7.0,4.4,3.7,11.7,9.1,17.3,78.7,59.5
51029930201,Buckingham County,Virginia,76.6,81.8,67.8,24.2,42.5,28.7,17.5,40.6,5.4,22.7,13.5,17.6,20.7,13.2,39.9,74.8,6.2,3.8,3.1,10.7,8.5,19.7,74.7,53.8
51029930202,Buckingham County,Virginia,76.9,82.9,70.5,19.4,39.0,26.5,15.1,36.1,7.4,20.2,13.4,17.0,23.1,13.5,40.1,80.3,7.1,4.0,3.5,11.3,9.1,15.5,77.7,61.9
51031020101,Campbell County,Virginia,75.5,83.9,70.5,18.5,34.1,26.5,15.8,37.4,7.2,18.0,12.4,16.6,22.5,11.7,35.0,79.9,6.3,3.5,3.2,10.7,8.2,14.0,76.8,66.1
51031020102,Campbell County,Virginia,75.8,84.8,71.5,17.7,33.7,24.3,16.8,37.4,7.0,16.0,11.6,16.2,22.4,10.6,33.5,78.8,5.8,3.1,2.9,10.4,7.4,11.8,76.4,68.5
51031020200,Campbell County,Virginia,75.5,83.0,70.8,17.9,32.5,24.7,16.9,36.4,6.5,16.5,11.6,17.3,23.7,10.0,31.1,77.2,5.6,3.0,2.8,10.7,7.5,12.9,75.0,66.6
51031020300,Campbell County,Virginia,74.9,84.0,73.8,14.1,30.3,22.6,15.8,34.3,8.4,14.4,10.9,14.9,21.8,10.3,33.4,81.0,6.3,3.2,3.2,10.0,7.2,9.9,77.8,72.4
51031020401,Campbell County,Virginia,76.0,80.3,69.9,17.1,33.0,26.0,15.9,36.5,6.5,17.1,11.8,18.6,24.5,10.5,31.3,77.5,5.9,3.1,3.0,11.1,7.7,13.8,75.6,64.7
51031020402,Campbell County,Virginia,75.7,84.6,71.8,15.1,30.8,21.2,17.5,35.1,6.9,13.7,10.4,16.0,23.2,8.9,29.7,77.3,5.1,2.7,2.7,10.4,6.5,9.8,75.7,72.2
51031020403,Campbell County,Virginia,75.9,84.5,71.0,16.9,32.6,23.4,16.9,36.6,6.9,15.3,11.2,16.3,23.0,9.9,31.7,78.0,5.5,2.9,2.8,10.5,7.1,11.2,76.0,69.5
