FIPS,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree,Urban_Percentage
51001,Accomack County,Virginia,33388,0.2081286689828681,0.5504372828561159,0.24143404816101594,0.5969809512399664,0.2846232179226069,0.09111057865101234,0.007637474541751527,0.019647777644662752,0.059379603863152726,0.7801194958258307,0.2100589294483549,0.08921263709281388,0.0
51007,Amelia County,Virginia,13220,0.21338880484114978,0.59357034795764,0.19304084720121029,0.7332072617246596,0.2204236006051437,0.03305597579425113,7.5642965204236e-05,0.0132375189107413,0.06599937441351267,0.784276926285059,0.1769367115003649,0.054530288812428315,0.0
51011,Appomattox County,Virginia,16039,0.21840513747739884,0.5784649915830165,0.20312987093958476,0.765072635451088,0.18118336554648046,0.019889020512500778,0.0017457447471787518,0.03210923374275204,0.04078217211309786,0.8181097507266801,0.19501453360345283,0.05152823042367656,0.0
51025,Brunswick County,Virginia,16044,0.16517078035402644,0.62521815008726,0.20961106955871353,0.40663176265270506,0.5502991772625281,0.015831463475442533,0.0004986287708800798,0.026738967838444278,0.056319028749683836,0.6665542534356294,0.16111626338420032,0.06567743023353849,0.24489999999999998
51029,Buckingham County,Virginia,16832,0.18126188212927757,0.6243464828897338,0.1943916349809886,0.6119296577946768,0.32604562737642584,0.0248930608365019,0.0004158745247148289,0.036715779467680607,0.08543350768743066,0.6968616262482168,0.11753051196703122,0.0468378506894912,0.0
51031,Campbell County,Virginia,55656,0.20150567773465575,0.5993783239902257,0.19911599827511858,0.7826469742705189,0.14197930142302717,0.029197211441713382,0.009397010205548369,0.03677950265919218,0.03779134986912626,0.830911130499813,0.2401595413187087,0.08164028418297395,0.3889
51033,Caroline County,Virginia,30861,0.22231943229318557,0.6169923204043939,0.16068824730242054,0.6306665370532387,0.2547551926379573,0.05476167330935485,0.010304267522115291,0.049512329477333854,0.034278679986743055,0.8275649827186212,0.21982860660006628,0.07386013919795464,0.21600000000000003
51036,Charles City County,Virginia,6817,0.15123954818835264,0.5992372011148599,0.24952325069678744,0.4314214463840399,0.44242335338125277,0.020683585154760157,0.0033739181458119407,0.10209769693413526,0.03978333955920807,0.7728800896525961,0.1557713858797161,0.04146432573776616,0.0
51037,Charlotte County,Virginia,11605,0.221111589831969,0.5597587246876347,0.21912968548039638,0.6803963808703145,0.26738474795346834,0.024386040499784576,0.0035329599310641967,0.024299870745368376,0.04965669445806768,0.7794261893084845,0.15129965669445808,0.0597106424717999,0.0
51041,Chesterfield County,Virginia,359798,0.23935652782950434,0.6106676524049606,0.14997581976553512,0.6002145648391598,0.22916469796941616,0.09498385205031712,0.033432648319334735,0.04220423682177222,0.0313554538300213,0.8907585877272859,0.41354588567826256,0.1578197040803293,0.9407
