FIPS,County,State,measure,value
51001,Accomack County,Virginia,Total,33388.0
51007,Amelia County,Virginia,Total,13220.0
51011,Appomattox County,Virginia,Total,16039.0
51025,Brunswick County,Virginia,Total,16044.0
51029,Buckingham County,Virginia,Total,16832.0
51031,Campbell County,Virginia,Total,55656.0
51033,Caroline County,Virginia,Total,30861.0
51036,Charles City County,Virginia,Total,6817.0
51037,Charlotte County,Virginia,Total,11605.0
51041,Chesterfield County,Virginia,Total,359798.0
51049,Cumberland County,Virginia,Total,9669.0
51053,Dinwiddie County,Virginia,Total,28040.0
51057,Essex County,Virginia,Total,10621.0
51073,Gloucester County,Virginia,Total,38586.0
51075,Goochland County,Virginia,Total,24300.0
51081,Greensville County,Virginia,Total,11465.0
51083,Halifax County,Virginia,Total,34228.0
51085,Hanover County,Virginia,Total,109232.0
51087,Henrico County,Virginia,Total,331924.0
51089,Henry County,Virginia,Total,51077.0
51093,Isle Of Wight County,Virginia,Total,38301.0
51095,James City County,Virginia,Total,77733.0
51097,King And Queen County,Virginia,Total,6690.0
51099,King George County,Virginia,Total,26597.0
51101,King William County,Virginia,Total,17511.0
51103,Lancaster County,Virginia,Total,10916.0
51109,Louisa County,Virginia,Total,37136.0
51111,Lunenburg County,Virginia,Total,11982.0
51115,Mathews County,Virginia,Total,8548.0
51117,Mecklenburg County,Virginia,Total,30347.0
51119,Middlesex County,Virginia,Total,10686.0
51127,New Kent County,Virginia,Total,22519.0
51131,Northampton County,Virginia,Total,12226.0
51133,Northumberland County,Virginia,Total,11965.0
51135,Nottoway County,Virginia,Total,15667.0
51143,Pittsylvania County,Virginia,Total,60833.0
51145,Powhatan County,Virginia,Total,29979.0
51147,Prince Edward County,Virginia,Total,21887.0
51149,Prince George County,Virginia,Total,42170.0
51159,Richmond County,Virginia,Total,8902.0
51175,Southampton County,Virginia,Total,18028.0
51177,Spotsylvania County,Virginia,Total,138493.0
51179,Stafford County,Virginia,Total,154204.0
51181,Surry County,Virginia,Total,6563.0
51183,Sussex County,Virginia,Total,10960.0
51193,Westmoreland County,Virginia,Total,18324.0
51199,York County,Virginia,Total,69635.0
51550,Chesapeake City,Virginia,Total,247172.0
51570,Colonial Heights City,Virginia,Total,18127.0
51590,Danville City,Virginia,Total,42556.0
51595,Emporia City,Virginia,Total,5761.0
51620,Franklin City,Virginia,Total,8249.0
51630,Fredericksburg City,Virginia,Total,28027.0
51650,Hampton City,Virginia,Total,136748.0
51670,Hopewell City,Virginia,Total,23020.0
51680,Lynchburg City,Virginia,Total,78973.0
51690,Martinsville City,Virginia,Total,13476.0
51700,Newport News City,Virginia,Total,185069.0
51710,Norfolk City,Virginia,Total,238556.0
51730,Petersburg City,Virginia,Total,33229.0
51735,Poquoson City,Virginia,Total,12382.0
51740,Portsmouth City,Virginia,Total,97454.0
51760,Richmond City,Virginia,Total,225676.0
51800,Suffolk City,Virginia,Total,93268.0
51810,Virginia Beach City,Virginia,Total,457658.0
51830,Williamsburg City,Virginia,Total,15299.0
51001,Accomack County,Virginia,Under 18,0.2081286689828681
51007,Amelia County,Virginia,Under 18,0.21338880484114978
51011,Appomattox County,Virginia,Under 18,0.21840513747739884
51025,Brunswick County,Virginia,Under 18,0.16517078035402644
51029,Buckingham County,Virginia,Under 18,0.18126188212927757
51031,Campbell County,Virginia,Under 18,0.20150567773465575
51033,Caroline County,Virginia,Under 18,0.22231943229318557
51036,Charles City County,Virginia,Under 18,0.15123954818835264
51037,Charlotte County,Virginia,Under 18,0.221111589831969
51041,Chesterfield County,Virginia,Under 18,0.23935652782950434
51049,Cumberland County,Virginia,Under 18,0.1973316785603475
51053,Dinwiddie County,Virginia,Under 18,0.20923680456490729
51057,Essex County,Virginia,Under 18,0.18821203276527634
51073,Gloucester County,Virginia,Under 18,0.20191261079147876
51075,Goochland County,Virginia,Under 18,0.17551440329218107
51081,Greensville County,Virginia,Under 18,0.15499345835150458
51083,Halifax County,Virginia,Under 18,0.20427719995325463
51085,Hanover County,Virginia,Under 18,0.21994470484839607
51087,Henrico County,Virginia,Under 18,0.22738337691760765
51089,Henry County,Virginia,Under 18,0.196350607905711
51093,Isle Of Wight County,Virginia,Under 18,0.21229210725568523
51095,James City County,Virginia,Under 18,0.20096998700680535
51097,King And Queen County,Virginia,Under 18,0.1881913303437967
51099,King George County,Virginia,Under 18,0.24942662706320262
51101,King William County,Virginia,Under 18,0.22837073839301011
51103,Lancaster County,Virginia,Under 18,0.15903261267863686
51109,Louisa County,Virginia,Under 18,0.20174493752692804
51111,Lunenburg County,Virginia,Under 18,0.19629444166249374
51115,Mathews County,Virginia,Under 18,0.16331305568554047
51117,Mecklenburg County,Virginia,Under 18,0.18766270142023922
51119,Middlesex County,Virginia,Under 18,0.15141306382182296
51127,New Kent County,Virginia,Under 18,0.2003197300057729
51131,Northampton County,Virginia,Under 18,0.1952396531981024
51133,Northumberland County,Virginia,Under 18,0.150856665273715
51135,Nottoway County,Virginia,Under 18,0.19333631199336185
51143,Pittsylvania County,Virginia,Under 18,0.18785856360856773
51145,Powhatan County,Virginia,Under 18,0.18209413255945828
51147,Prince Edward County,Virginia,Under 18,0.1564855850504866
51149,Prince George County,Virginia,Under 18,0.22224330092482808
51159,Richmond County,Virginia,Under 18,0.16726578297011907
51175,Southampton County,Virginia,Under 18,0.19286665187486132
51177,Spotsylvania County,Virginia,Under 18,0.24821471121284108
51179,Stafford County,Virginia,Under 18,0.2617960623589531
51181,Surry County,Virginia,Under 18,0.17644369952765504
51183,Sussex County,Virginia,Under 18,0.1573905109489051
51193,Westmoreland County,Virginia,Under 18,0.1865858982754857
51199,York County,Virginia,Under 18,0.23794069074459684
51550,Chesapeake City,Virginia,Under 18,0.24410127360704287
51570,Colonial Heights City,Virginia,Under 18,0.2330777293540023
51590,Danville City,Virginia,Under 18,0.22114390450230284
51595,Emporia City,Virginia,Under 18,0.28710293351848637
51620,Franklin City,Virginia,Under 18,0.2573645290338223
51630,Fredericksburg City,Virginia,Under 18,0.2093695365183573
51650,Hampton City,Virginia,Under 18,0.21371427735689005
51670,Hopewell City,Virginia,Under 18,0.25834057341442224
51680,Lynchburg City,Virginia,Under 18,0.19119192635457688
51690,Martinsville City,Virginia,Under 18,0.25259720985455625
51700,Newport News City,Virginia,Under 18,0.23397759754469954
51710,Norfolk City,Virginia,Under 18,0.1964402488304633
51730,Petersburg City,Virginia,Under 18,0.218453760269644
51735,Poquoson City,Virginia,Under 18,0.2191083831368115
51740,Portsmouth City,Virginia,Under 18,0.23416175836805056
51760,Richmond City,Virginia,Under 18,0.1736693312536557
51800,Suffolk City,Virginia,Under 18,0.2406291546940001
51810,Virginia Beach City,Virginia,Under 18,0.22235818012577077
51830,Williamsburg City,Virginia,Under 18,0.10758873128962677
51001,Accomack County,Virginia,18 to 64,0.5504372828561159
51007,Amelia County,Virginia,18 to 64,0.59357034795764
51011,Appomattox County,Virginia,18 to 64,0.5784649915830165
51025,Brunswick County,Virginia,18 to 64,0.62521815008726
51029,Buckingham County,Virginia,18 to 64,0.6243464828897338
51031,Campbell County,Virginia,18 to 64,0.5993783239902257
51033,Caroline County,Virginia,18 to 64,0.6169923204043939
51036,Charles City County,Virginia,18 to 64,0.5992372011148599
51037,Charlotte County,Virginia,18 to 64,0.5597587246876347
51041,Chesterfield County,Virginia,18 to 64,0.6106676524049606
51049,Cumberland County,Virginia,18 to 64,0.5796876615989244
51053,Dinwiddie County,Virginia,18 to 64,0.6152995720399429
51057,Essex County,Virginia,18 to 64,0.5818661143018549
51073,Gloucester County,Virginia,18 to 64,0.6054527548851916
51075,Goochland County,Virginia,18 to 64,0.5986008230452675
51081,Greensville County,Virginia,18 to 64,0.6929786306149149
51083,Halifax County,Virginia,18 to 64,0.5538155895757859
51085,Hanover County,Virginia,18 to 64,0.6013622381719642
51087,Henrico County,Virginia,18 to 64,0.6173913305455466
51089,Henry County,Virginia,18 to 64,0.565890714020009
51093,Isle Of Wight County,Virginia,18 to 64,0.598600558732148
51095,James City County,Virginia,18 to 64,0.5472321922478227
51097,King And Queen County,Virginia,18 to 64,0.5789237668161435
51099,King George County,Virginia,18 to 64,0.6199571380230853
51101,King William County,Virginia,18 to 64,0.6109873793615441
51103,Lancaster County,Virginia,18 to 64,0.4839684866251374
51109,Louisa County,Virginia,18 to 64,0.6007916846186988
51111,Lunenburg County,Virginia,18 to 64,0.5842931063261559
51115,Mathews County,Virginia,18 to 64,0.538020589611605
51117,Mecklenburg County,Virginia,18 to 64,0.5579464197449501
51119,Middlesex County,Virginia,18 to 64,0.5290099195208684
51127,New Kent County,Virginia,18 to 64,0.623739952928638
51131,Northampton County,Virginia,18 to 64,0.5341894323572713
51133,Northumberland County,Virginia,18 to 64,0.4610112829084831
51135,Nottoway County,Virginia,18 to 64,0.6188804493521415
51143,Pittsylvania County,Virginia,18 to 64,0.5840579948383279
51145,Powhatan County,Virginia,18 to 64,0.6294072517428867
51147,Prince Edward County,Virginia,18 to 64,0.6814090556037831
51149,Prince George County,Virginia,18 to 64,0.636755987668959
51159,Richmond County,Virginia,18 to 64,0.6250280835767243
51175,Southampton County,Virginia,18 to 64,0.6056134901264699
51177,Spotsylvania County,Virginia,18 to 64,0.609409861870275
51179,Stafford County,Virginia,18 to 64,0.6337319395087028
51181,Surry County,Virginia,18 to 64,0.59576413225659
51183,Sussex County,Virginia,18 to 64,0.6663321167883212
51193,Westmoreland County,Virginia,18 to 64,0.5591573892163283
51199,York County,Virginia,18 to 64,0.5983485316292094
51550,Chesapeake City,Virginia,18 to 64,0.6228011263411714
