FIPS,Tract,County,State,measure,value
51001090101,Census Tract 901.01,Accomack County,Virginia,Total,1897.0
51001090102,Census Tract 901.02,Accomack County,Virginia,Total,1388.0
51001090201,Census Tract 902.01,Accomack County,Virginia,Total,3000.0
51001090202,Census Tract 902.02,Accomack County,Virginia,Total,2984.0
51001090300,Census Tract 903,Accomack County,Virginia,Total,2113.0
51001090401,Census Tract 904.01,Accomack County,Virginia,Total,3426.0
51001090402,Census Tract 904.02,Accomack County,Virginia,Total,4132.0
51001090500,Census Tract 905,Accomack County,Virginia,Total,2341.0
51001090600,Census Tract 906,Accomack County,Virginia,Total,3551.0
51001090700,Census Tract 907,Accomack County,Virginia,Total,5074.0
51001090800,Census Tract 908,Accomack County,Virginia,Total,3458.0
51001980100,Census Tract 9801,Accomack County,Virginia,Total,24.0
51001980200,Census Tract 9802,Accomack County,Virginia,Total,0.0
51001990100,Census Tract 9901,Accomack County,Virginia,Total,0.0
51001990200,Census Tract 9902,Accomack County,Virginia,Total,0.0
51007930101,Census Tract 9301.01,Amelia County,Virginia,Total,2204.0
51007930102,Census Tract 9301.02,Amelia County,Virginia,Total,4812.0
51007930200,Census Tract 9302,Amelia County,Virginia,Total,6204.0
51011040101,Census Tract 401.01,Appomattox County,Virginia,Total,3816.0
51011040102,Census Tract 401.02,Appomattox County,Virginia,Total,3699.0
51011040200,Census Tract 402,Appomattox County,Virginia,Total,4494.0
51011040300,Census Tract 403,Appomattox County,Virginia,Total,4030.0
51025930100,Census Tract 9301,Brunswick County,Virginia,Total,2927.0
51025930201,Census Tract 9302.01,Brunswick County,Virginia,Total,2240.0
51025930202,Census Tract 9302.02,Brunswick County,Virginia,Total,1805.0
51025930203,Census Tract 9302.03,Brunswick County,Virginia,Total,4518.0
51025930301,Census Tract 9303.01,Brunswick County,Virginia,Total,1678.0
51025930302,Census Tract 9303.02,Brunswick County,Virginia,Total,2876.0
51029930101,Census Tract 9301.01,Buckingham County,Virginia,Total,3693.0
51029930102,Census Tract 9301.02,Buckingham County,Virginia,Total,3229.0
51029930201,Census Tract 9302.01,Buckingham County,Virginia,Total,5329.0
51029930202,Census Tract 9302.02,Buckingham County,Virginia,Total,4581.0
51031020101,Census Tract 201.01,Campbell County,Virginia,Total,5628.0
51031020102,Census Tract 201.02,Campbell County,Virginia,Total,4795.0
51031020200,Census Tract 202,Campbell County,Virginia,Total,5541.0
51031020300,Census Tract 203,Campbell County,Virginia,Total,3930.0
51031020401,Census Tract 204.01,Campbell County,Virginia,Total,4483.0
51031020402,Census Tract 204.02,Campbell County,Virginia,Total,3427.0
51031020403,Census Tract 204.03,Campbell County,Virginia,Total,5806.0
51031020500,Census Tract 205,Campbell County,Virginia,Total,7835.0
51031020600,Census Tract 206,Campbell County,Virginia,Total,3922.0
51031020700,Census Tract 207,Campbell County,Virginia,Total,3396.0
51031020800,Census Tract 208,Campbell County,Virginia,Total,2727.0
51031020900,Census Tract 209,Campbell County,Virginia,Total,4166.0
51033030100,Census Tract 301,Caroline County,Virginia,Total,5890.0
51033030201,Census Tract 302.01,Caroline County,Virginia,Total,3192.0
51033030202,Census Tract 302.02,Caroline County,Virginia,Total,1583.0
51033030300,Census Tract 303,Caroline County,Virginia,Total,3512.0
51033030400,Census Tract 304,Caroline County,Virginia,Total,2173.0
51033030501,Census Tract 305.01,Caroline County,Virginia,Total,4260.0
51033030502,Census Tract 305.02,Caroline County,Virginia,Total,4751.0
51033030503,Census Tract 305.03,Caroline County,Virginia,Total,2331.0
51033030600,Census Tract 306,Caroline County,Virginia,Total,3169.0
51036600100,Census Tract 6001,Charles City County,Virginia,Total,2698.0
51036600200,Census Tract 6002,Charles City County,Virginia,Total,2426.0
51036600300,Census Tract 6003,Charles City County,Virginia,Total,1693.0
51037930101,Census Tract 9301.01,Charlotte County,Virginia,Total,2904.0
51037930102,Census Tract 9301.02,Charlotte County,Virginia,Total,2263.0
51037930200,Census Tract 9302,Charlotte County,Virginia,Total,2814.0
51037930300,Census Tract 9303,Charlotte County,Virginia,Total,3624.0
51041100106,Census Tract 1001.06,Chesterfield County,Virginia,Total,4044.0
51041100107,Census Tract 1001.07,Chesterfield County,Virginia,Total,2396.0
51041100206,Census Tract 1002.06,Chesterfield County,Virginia,Total,6544.0
51041100208,Census Tract 1002.08,Chesterfield County,Virginia,Total,2386.0
51041100209,Census Tract 1002.09,Chesterfield County,Virginia,Total,6688.0
51041100210,Census Tract 1002.10,Chesterfield County,Virginia,Total,2008.0
51041100211,Census Tract 1002.11,Chesterfield County,Virginia,Total,3211.0
51041100212,Census Tract 1002.12,Chesterfield County,Virginia,Total,5063.0
51041100300,Census Tract 1003,Chesterfield County,Virginia,Total,2914.0
51041100403,Census Tract 1004.03,Chesterfield County,Virginia,Total,6254.0
51041100404,Census Tract 1004.04,Chesterfield County,Virginia,Total,2592.0
51041100405,Census Tract 1004.05,Chesterfield County,Virginia,Total,2157.0
51041100406,Census Tract 1004.06,Chesterfield County,Virginia,Total,1761.0
51041100407,Census Tract 1004.07,Chesterfield County,Virginia,Total,4496.0
51041100409,Census Tract 1004.09,Chesterfield County,Virginia,Total,7068.0
51041100410,Census Tract 1004.10,Chesterfield County,Virginia,Total,2399.0
51041100505,Census Tract 1005.05,Chesterfield County,Virginia,Total,5693.0
51041100506,Census Tract 1005.06,Chesterfield County,Virginia,Total,6489.0
51041100507,Census Tract 1005.07,Chesterfield County,Virginia,Total,7034.0
51041100508,Census Tract 1005.08,Chesterfield County,Virginia,Total,5441.0
51041100509,Census Tract 1005.09,Chesterfield County,Virginia,Total,6801.0
51041100510,Census Tract 1005.10,Chesterfield County,Virginia,Total,4166.0
51041100600,Census Tract 1006,Chesterfield County,Virginia,Total,2954.0
51041100701,Census Tract 1007.01,Chesterfield County,Virginia,Total,5262.0
51041100702,Census Tract 1007.02,Chesterfield County,Virginia,Total,1907.0
51041100704,Census Tract 1007.04,Chesterfield County,Virginia,Total,5366.0
51041100705,Census Tract 1007.05,Chesterfield County,Virginia,Total,2618.0
51041100804,Census Tract 1008.04,Chesterfield County,Virginia,Total,4594.0
51041100805,Census Tract 1008.05,Chesterfield County,Virginia,Total,5010.0
51041100806,Census Tract 1008.06,Chesterfield County,Virginia,Total,3346.0
51041100807,Census Tract 1008.07,Chesterfield County,Virginia,Total,2457.0
51041100812,Census Tract 1008.12,Chesterfield County,Virginia,Total,5624.0
51041100814,Census Tract 1008.14,Chesterfield County,Virginia,Total,3829.0
51041100815,Census Tract 1008.15,Chesterfield County,Virginia,Total,6916.0
51041100816,Census Tract 1008.16,Chesterfield County,Virginia,Total,4699.0
51041100817,Census Tract 1008.17,Chesterfield County,Virginia,Total,3279.0
51041100818,Census Tract 1008.18,Chesterfield County,Virginia,Total,4711.0
51041100819,Census Tract 1008.19,Chesterfield County,Virginia,Total,6418.0
51041100820,Census Tract 1008.20,Chesterfield County,Virginia,Total,4485.0
51041100821,Census Tract 1008.21,Chesterfield County,Virginia,Total,4886.0
51041100822,Census Tract 1008.22,Chesterfield County,Virginia,Total,6090.0
51041100823,Census Tract 1008.23,Chesterfield County,Virginia,Total,5802.0
51041100902,Census Tract 1009.02,Chesterfield County,Virginia,Total,4077.0
51041100907,Census Tract 1009.07,Chesterfield County,Virginia,Total,2546.0
51041100910,Census Tract 1009.10,Chesterfield County,Virginia,Total,5602.0
51041100912,Census Tract 1009.12,Chesterfield County,Virginia,Total,6519.0
51041100915,Census Tract 1009.15,Chesterfield County,Virginia,Total,4005.0
51041100919,Census Tract 1009.19,Chesterfield County,Virginia,Total,6720.0
51041100920,Census Tract 1009.20,Chesterfield County,Virginia,Total,1599.0
51041100921,Census Tract 1009.21,Chesterfield County,Virginia,Total,6136.0
51041100922,Census Tract 1009.22,Chesterfield County,Virginia,Total,5019.0
51041100923,Census Tract 1009.23,Chesterfield County,Virginia,Total,2978.0
51041100924,Census Tract 1009.24,Chesterfield County,Virginia,Total,5129.0
51041100926,Census Tract 1009.26,Chesterfield County,Virginia,Total,6517.0
51041100928,Census Tract 1009.28,Chesterfield County,Virginia,Total,8280.0
51041100929,Census Tract 1009.29,Chesterfield County,Virginia,Total,6017.0
51041100930,Census Tract 1009.30,Chesterfield County,Virginia,Total,3766.0
51041100931,Census Tract 1009.31,Chesterfield County,Virginia,Total,5396.0
51041100932,Census Tract 1009.32,Chesterfield County,Virginia,Total,3295.0
51041100933,Census Tract 1009.33,Chesterfield County,Virginia,Total,2807.0
51041100934,Census Tract 1009.34,Chesterfield County,Virginia,Total,6193.0
51041100935,Census Tract 1009.35,Chesterfield County,Virginia,Total,4399.0
51041100936,Census Tract 1009.36,Chesterfield County,Virginia,Total,4123.0
51041100937,Census Tract 1009.37,Chesterfield County,Virginia,Total,3807.0
51041100938,Census Tract 1009.38,Chesterfield County,Virginia,Total,8228.0
51041101003,Census Tract 1010.03,Chesterfield County,Virginia,Total,11196.0
51041101004,Census Tract 1010.04,Chesterfield County,Virginia,Total,4933.0
51041101007,Census Tract 1010.07,Chesterfield County,Virginia,Total,6556.0
51041101008,Census Tract 1010.08,Chesterfield County,Virginia,Total,5706.0
51041101009,Census Tract 1010.09,Chesterfield County,Virginia,Total,8938.0
51041101011,Census Tract 1010.11,Chesterfield County,Virginia,Total,2994.0
51041101012,Census Tract 1010.12,Chesterfield County,Virginia,Total,5431.0
51041101013,Census Tract 1010.13,Chesterfield County,Virginia,Total,3815.0
51041101014,Census Tract 1010.14,Chesterfield County,Virginia,Total,2722.0
51041101015,Census Tract 1010.15,Chesterfield County,Virginia,Total,6491.0
51049930101,Census Tract 9301.01,Cumberland County,Virginia,Total,3108.0
51049930102,Census Tract 9301.02,Cumberland County,Virginia,Total,2298.0
51049930200,Census Tract 9302,Cumberland County,Virginia,Total,4263.0
51053840101,Census Tract 8401.01,Dinwiddie County,Virginia,Total,2020.0
51053840102,Census Tract 8401.02,Dinwiddie County,Virginia,Total,3525.0
51053840200,Census Tract 8402,Dinwiddie County,Virginia,Total,4491.0
51053840300,Census Tract 8403,Dinwiddie County,Virginia,Total,6151.0
51053840400,Census Tract 8404,Dinwiddie County,Virginia,Total,862.0
51053840500,Census Tract 8405,Dinwiddie County,Virginia,Total,4248.0
51053840601,Census Tract 8406.01,Dinwiddie County,Virginia,Total,4050.0
51053840602,Census Tract 8406.02,Dinwiddie County,Virginia,Total,2693.0
51053980100,Census Tract 9801,Dinwiddie County,Virginia,Total,0.0
51057950600,Census Tract 9506,Essex County,Virginia,Total,3674.0
51057950700,Census Tract 9507,Essex County,Virginia,Total,3505.0
51057950800,Census Tract 9508,Essex County,Virginia,Total,3442.0
51073100101,Census Tract 1001.01,Gloucester County,Virginia,Total,2875.0
51073100102,Census Tract 1001.02,Gloucester County,Virginia,Total,4329.0
51073100201,Census Tract 1002.01,Gloucester County,Virginia,Total,5384.0
51073100202,Census Tract 1002.02,Gloucester County,Virginia,Total,4929.0
51073100203,Census Tract 1002.03,Gloucester County,Virginia,Total,3660.0
51073100301,Census Tract 1003.01,Gloucester County,Virginia,Total,5596.0
51073100302,Census Tract 1003.02,Gloucester County,Virginia,Total,6087.0
51073100400,Census Tract 1004,Gloucester County,Virginia,Total,1441.0
51073100500,Census Tract 1005,Gloucester County,Virginia,Total,4285.0
51075400101,Census Tract 4001.01,Goochland County,Virginia,Total,5003.0
51075400102,Census Tract 4001.02,Goochland County,Virginia,Total,3989.0
51075400200,Census Tract 4002,Goochland County,Virginia,Total,4925.0
51075400300,Census Tract 4003,Goochland County,Virginia,Total,950.0
51075400400,Census Tract 4004,Goochland County,Virginia,Total,5287.0
51075400500,Census Tract 4005,Goochland County,Virginia,Total,4146.0
51081880101,Census Tract 8801.01,Greensville County,Virginia,Total,3900.0
51081880102,Census Tract 8801.02,Greensville County,Virginia,Total,2907.0
51081880200,Census Tract 8802,Greensville County,Virginia,Total,4658.0
51083930100,Census Tract 9301,Halifax County,Virginia,Total,3125.0
51083930202,Census Tract 9302.02,Halifax County,Virginia,Total,2451.0
51083930203,Census Tract 9302.03,Halifax County,Virginia,Total,2526.0
51083930204,Census Tract 9302.04,Halifax County,Virginia,Total,1379.0
51083930301,Census Tract 9303.01,Halifax County,Virginia,Total,2295.0
51083930302,Census Tract 9303.02,Halifax County,Virginia,Total,4601.0
51083930400,Census Tract 9304,Halifax County,Virginia,Total,3745.0
51083930500,Census Tract 9305,Halifax County,Virginia,Total,4060.0
51083930601,Census Tract 9306.01,Halifax County,Virginia,Total,2697.0
51083930602,Census Tract 9306.02,Halifax County,Virginia,Total,2701.0
